"id","text","rating1","rating2","rating3"
"[BRWN, PARA#4799, SENT#1]","As in choosing a wife , it is only sensible to consider also how appealing a pool is likely to be in bad weather as well as in good .","3","1","1"
"[BRWN, PARA#9343, SENT#2]","More than anything , it is the therapist's intuitive sensing of these latent meanings in the stereotype which helps these meanings to become revealed , something like a spread-out deck of cards , on sporadic occasions over the passage of the patient's and his months of work together .","1","1","1"
"[BRWN, PARA#6812, SENT#10]","I have more than once sat cross-legged in the grass through a long summer morning and watched without touching while a poppy bud higher than my head slowly but visibly pushed off its cap , unfolded , and shook out like a banner in the sun its flaming vermilion petals .","2","1","1"
"[BRWN, PARA#14492, SENT#10]","He also had , at times , an uncanny absent-minded air like a sleepwalker ; ;","1","3","1"
"[BRWN, PARA#15582, SENT#3]","Nevertheless , like any other human being upon whom the spotlight of the world plays continually , Khrushchev , the anti-personality cultist , has become a comic actor , or thinks he has .","1","3","1"
"[BRWN, PARA#11877, SENT#5]","Word of his arrival spread through the crowd like a brushfire .","3","1","1"
"[BRWN, PARA#10307, SENT#2]","He had dinner and sat there over his coffee watching the winding pattern of traffic as it crossed the bridge and spread out like a serpent with two heads .","1","1","1"
"[BRWN, PARA#14625, SENT#1]","George Rawlings remembered seeing the door open sometime during the night -- Millie , in a white robe , standing like a ghost at the threshold .","1","1","1"
"[BRWN, PARA#6292, SENT#6]","This term was also used by the cowboy in the sense of a human showin' fight , as one cowhand was heard to say , `` He arches his back like a mule in a hailstorm '' .","1","1","1"
"[BRWN, PARA#4332, SENT#2]","One seldom hears the analogy `` nuclear propulsion will do for the aircraft what it has already done for the submarine '' .","1","1","1"
"[BRWN, PARA#14532, SENT#4]","It's so romantic up there , she used to say , with the broad river gleaming in its moontrack like an enormous dark mirror and all the sounds of the night , so poetic .","1","1","1"
"[BRWN, PARA#7352, SENT#1]","The dogs would run through the halls after him like a burst of bullets , and all the maids would run for cover .","1","1","1"
"[BRWN, PARA#3896, SENT#6]","Therefore , the only conceivable alternatives are those represented , on the one hand , by the two at least apparently self-consistent but mutually exclusive positions of Buri and Barth and , on the other hand , by the third but really pseudo position ( analogous to a round square ) of Bultmann .","1","2","1"
"[BRWN, PARA#11232, SENT#6]","Now the yard looked wet and bald , the trees bare under their buds , but in a while Miss Ada's flowers would bloom like a marching parade .","1","1","1"
"[BRWN, PARA#8991, SENT#7]","The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; ;","1","1","1"
"[BRWN, PARA#5841, SENT#4]","Where it is not actually erupting , it rumbles and smolders in sullen resentment like a volcano , ready to explode at any moment .","1","1","1"
"[BRWN, PARA#14062, SENT#1]","Delphine presented her cheek for a kiss , and the physician pecked it like a timid rooster .","1","1","1"
"[BRWN, PARA#6813, SENT#6]","morning-glory buds which could be so grasped and squeezed that they burst like a blown-up paper bag ; ;","1","1","1"
"[BRWN, PARA#14496, SENT#6]","`` The artist is like a fragment of a mosaic -- no , he is more than that , a virtuoso performer in some vast philharmonic .","1","1","1"
"[BRWN, PARA#4908, SENT#9]","Stravinsky , nearing the age of eighty , is like a lost and frantic bird , flitting from one abandoned nest to another , searching for a home .","1","1","1"
"[BRWN, PARA#8590, SENT#1]","Nonresident aliens living in Canada or Mexico who earn wages in the United States may be subject to withholding of tax on their wages , the same as if they were citizens of the United States .","1","3","1"
"[BRWN, PARA#5832, SENT#7]","but he believed in the Jew-as-enemy in a kind of abstract , theological way , like a member of a cult speculating on the nature of things .","1","1","1"
"[BRWN, PARA#3064, SENT#11]","for a dose of radiation is not like a flu virus which causes temporary discomfort and then dies .","1","3","1"
"[BRWN, PARA#14782, SENT#2]","`` Hurry up , we're late '' , he said , noticing with a chill how gray the sky was this morning , the fog like a rope along the horizon , the choppy waves sending off sheets of blue and Kool-Aid green .","1","1","1"
"[BRWN, PARA#5994, SENT#7]","He went down like a wet rag and the attackers hit the dirt in the face of the withering enemy fire .","1","1","1"
"[BRWN, PARA#4106, SENT#6]","Then this atom of calcium will swell to something like a great balloon a hundred yards across , a balloon big enough to put a football field inside .","1","1","1"
"[BRWN, PARA#1721, SENT#1]","The logic of that is impeccable , of course , except that I feel like a fool being driven up to work in a little car , by my wife , when everybody knows I have a big car and am capable of driving myself .","3","1","1"
"[BRWN, PARA#4276, SENT#3]","Before your first training experiment has ended there will be a big improvement and almost before you know it you'll be raising and lowering yourself just like a veteran ! !","1","2","2"
"[BRWN, PARA#11967, SENT#2]","his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass-like , liable to break like an icicle at any moment .","1","1","3"
"[BRWN, PARA#15558, SENT#6]","I took a deep breath and an even deeper swallow of my drink , and said , `` I admit that going back to Ralph Waldo Emerson for humor is like going to a modern musical comedy for music and comedy '' .","1","1","1"
"[BRWN, PARA#10384, SENT#5]","That absence of an urgent self-indulgence dashed them awake like a pail of water .","1","1","1"
"[BRWN, PARA#2781, SENT#1]","People who take us for suckers are like the Westerner who had on exhibit his superior marksmanship in the form of a number of bull's-eye achievements .","1","1","2"
"[BRWN, PARA#7104, SENT#2]","While my memory holds with relentless tenacity , as I cannot too often stress , to my wrongs , when it comes to my shames , it gestures and jokes and toys with chronology like a prestidigitator in the hope of distracting me from them .","2","1","2"
"[BRWN, PARA#6846, SENT#8]","As in experience one is seized by given entities and their interrelations and is forced to respond in value feelings to them , so one is similarly seized in the mimetic presentation of images .","1","1","1"
"[BRWN, PARA#10554, SENT#4]","Loneliness tore through him like a physical pain whenever he thought of Peter Robert , Nerien , Nicholas Cop , Martin Bucer , and even the compromising Louis Du Tillet .","2","1","1"
"[BRWN, PARA#10318, SENT#6]","A fellow came up to me , a Senator , I don't have to tell you his name , and he told me , ' I love the President like a brother , but God damn it , he's crucifying me .","1","3","1"
"[BRWN, PARA#11031, SENT#1]","She grasped the chair arms and brought her thin body upright , like a bird alert for flight .","3","1","1"
"[BRWN, PARA#13694, SENT#2]","Frozen , they stared at it whirling down the valley , gouging and spitting out boulders and chunks of earth like a starving hound dog cracking marrowbones .","1","1","1"
"[BRWN, PARA#8690, SENT#5]","The potential market for the machine should be comparable to that of the Unifil loom winder .","1","1","1"
"[BRWN, PARA#6433, SENT#3]",") The curve of faded terra-cotta-colored houses in front of the church seems like a stage set .","1","2","2"
"[BRWN, PARA#13782, SENT#3]","It made only a tiny bump over the two men like a tire over a piece of gravel then moved on .","1","1","1"
"[BRWN, PARA#14038, SENT#3]","His heart was pounding like a mighty dynamo and he was trying to think , his mind seeming to scream at him like a hurt or frightened child , `` How will I do it ? ?","1","1","1"
"[BRWN, PARA#4102, SENT#5]","One night there were some dried peas lying on our kitchen table , and these peas looked to me like a little group of atoms ; ;","1","1","1"
"[BRWN, PARA#13933, SENT#1]","The marine slumped forward into a bow like a priest before an idol .","1","1","1"
"[BRWN, PARA#9361, SENT#2]","The order is identical to the ordering of the forms they describe .","1","2","2"
"[BRWN, PARA#14704, SENT#5]","The closet was faintly fragrant with lavender , and as Lucy shut the door an unhappy memory slipped into her mind , like a lavender ghost : Greg's house , on the day he was buried , and the child , pale , silent , baffled , watching the funeral guests with panicky eyes .","1","1","2"
"[BRWN, PARA#7754, SENT#1]","Alfred began to put his affairs in order , and he went about it like a man putting his things into storage .","1","1","1"
"[BRWN, PARA#9554, SENT#1]","There may be certain items which are quite similar to a net operating loss carryover or operating deficit and whose right to survive a reorganization should perhaps be subject to the conditions applicable to those items .","1","2","2"
"[BRWN, PARA#13121, SENT#4]","It was a bold , dark castle of pine boughs that stood like a medieval fortress , eclipsing the sun and human time .","1","1","1"
"[BRWN, PARA#9945, SENT#1]","It is not a farfetched analogy to say that this is what Thomas did to poetry .","1","1","2"
"[BRWN, PARA#11078, SENT#10]","I always felt the memory was present in both of them , stirring in their chests like a laugh or a growl , as eager as an animal to be out .","1","1","1"
"[BRWN, PARA#14716, SENT#2]","Then she jumped to her feet , the elastic phone cord uncoiling like a black snake .","1","1","1"
"[BRWN, PARA#15065, SENT#2]","Today , he looked like an Astronaut who had left his vitamin pills on the bureau and spent six months in space : hollow eyes , hollow cheeks , hollow stomach .","3","1","1"
"[BRWN, PARA#3871, SENT#3]","It is like a mysterious epidemic which , starting first with Abigail and Parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it .","1","1","1"
"[BRWN, PARA#6794, SENT#1]","The personal quality of Samuel Beckett is similar to qualities I had found in the plays .","1","2","1"
"[BRWN, PARA#7424, SENT#1]","`` The Attorney General has been brooding over that evidence like an old hen on a doorknob for eighteen months '' , Hearst said .","1","1","1"
"[BRWN, PARA#14928, SENT#3]","The place was busy but I didn't feel like a Hun .","1","1","3"
"[BRWN, PARA#8846, SENT#1]","Although the Af calculation is obvious by analogy with that for gravitational field and osmotic pressure , it is interesting to confirm it by a method which can be generalized to include related effects .","1","1","2"
"[BRWN, PARA#1413, SENT#1]","`` It is like handing a loaded automatic to an 8-year-old and telling him to run out and play '' , he commented .","1","1","1"
"[BRWN, PARA#10326, SENT#2]","She soared over the new pastor like an avenging angel lest he stray from the path and not know all the truth and gossip of which she was chief repository .","1","1","1"
"[BRWN, PARA#7416, SENT#2]","We must avoid the notion , suggested to some people by examples such as those just mentioned , that ideas are `` units '' in some way comparable to coins or counters that can be passed intact from one group of people to another or even , for that matter , from one individual to another .","1","2","2"
"[BRWN, PARA#4906, SENT#4]","Why did Prokofieff expand in stature and fecundity , while Stravinsky ( who leaped into fame like a young giant ) dwindled in stature and fruitfulness ? ?","1","2","2"
"[BRWN, PARA#14494, SENT#2]","We went into Mrs. Monmouth's library , which had low bookshelves all along the walls , and above them a Modigliani portrait , a Jackson Pollock twelve feet long , and a gorgeous Miro with a yellow background , that looked like an inscription from a Martian tomb .","1","1","1"
"[BRWN, PARA#3538, SENT#1]","Miss Vaughan was back in top form , somehow mellowed and improved with the passage of time -- like a fine wine .","1","2","1"
"[BRWN, PARA#14595, SENT#1]","But now with real anger at last , something proud and indignant , Early Spring stood like a she wolf before her den and cried , `` I will not shriek at you ! !","1","1","1"
