id,text,ratings,,,
"[BRWN, PARA#8870, SENT#2]",For the low-temperature measurements the sample was cooled by a cold nitrogen gas flow method similar to that of Andrew and Eades .,1,3,3,
"[BRWN, PARA#12187, SENT#2]",a tension similar to the one now .,3,3,3,
"[BRWN, PARA#6847, SENT#3]",These are like the initial ways in which the world forces itself upon the self and thrusts the self into decision and choice .,3,3,3,
"[BRWN, PARA#9893, SENT#3]", He finds it equally `` remarkable that their critical diagnosis and prognosis should have so much in common among themselves and with the critics of the twentieth century '' .,3,3,2,
"[BRWN, PARA#11705, SENT#1]","It was a long , low room , like a root cellar , for it was banked up with soil , and vines had run rampant over that , too .",3,3,3,
"[BRWN, PARA#3148, SENT#4]","and it is still very far from certain how valid the party's claim is that in `` a growing number of kolkhozes '' the peasants are finding it more profitable , to surrender their private plots to the kolkhoz and to let the latter be turned into something increasingly like a state farm .",1,3,3,
"[BRWN, PARA#9528, SENT#3]","If this seems arbitrary , its effect was to treat citizens of the District of Columbia equally with citizens of the states -- at the expense of expanding a troublesome jurisdiction .",3,3,3,
"[BRWN, PARA#9408, SENT#3]",An attempted middle course might lead to devices like a 5000-word alphabetized dictionary from which every fiftieth word was selected .,3,2,3,
"[BRWN, PARA#7747, SENT#2]","Underneath all the high-sounding phrases of royal and papal letters and behind the more down-to-earth instructions to the envoys was the inescapable fact that Edward would have to desert his Flemish allies and leave them to the vengeance of their indignant suzerain , the king of France , in return for being given an equally free hand with the insubordinate Scots .",3,3,2,
"[BRWN, PARA#4356, SENT#1]",Command's new Brahms Second is a major effort to make a record that sounds like a real orchestra rather than a copy of one .,1,3,3,
"[BRWN, PARA#15211, SENT#1]","In Tokyo Richard took up a life similar to that which he had lived in New York , except that he had replaced his biwa with a friend .",1,3,3,
"[BRWN, PARA#7911, SENT#1]",An equally promising avenue toward Atlantic community may lie through the development and expansion of the O.E.C.D. .,3,3,3,
"[BRWN, PARA#11922, SENT#2]",`` You sound like an old woman .,3,3,3,
"[BRWN, PARA#9011, SENT#5]","Finally , it is suggested that in many respects the horse lung may be anatomically more comparable to that of the human than any other presently known species .",3,3,2,
"[BRWN, PARA#12228, SENT#2]","Although Bob dressed like a slob , he kept a neat office .",3,3,3,
"[BRWN, PARA#6645, SENT#7]",From upstream it looks like a long arcaded box laid across the river ; ;,3,1,3,
"[BRWN, PARA#7249, SENT#2]","In spite of Pickering Dodge's explicit instructions regarding variation of meals , the food did not seem the same as at home .",3,3,3,
"[BRWN, PARA#2116, SENT#3]","`` The old man came from the front of the plane and said he wanted four volunteers to go to Cuba '' , McCauley said , `` and like a nut I raised my hand .",3,3,2,
"[BRWN, PARA#15068, SENT#1]","This vacation had seemed like a good idea last week , when his doctor had prescribed it .",3,3,3,
"[BRWN, PARA#11697, SENT#4]","Rev loved Honotassa , it was like a part of his breath and body ; ;",3,3,3,
"[BRWN, PARA#11420, SENT#2]",Kinda like a zombie ? ?,2,3,2,
"[BRWN, PARA#8566, SENT#14]",The interest rate will be similar to those prevailing in India on comparable loans and the maturities will be consistent with the purposes of the financing .,3,2,3,
"[BRWN, PARA#14440, SENT#8]","And Alexander sobbed like a girl for the dreams he had had , and he felt no shame .",3,3,3,
"[BRWN, PARA#7734, SENT#5]","The mild activity of his command during the sojourn of the troops at Valley Forge could be handled by a subordinate , he felt , so like Henry Knox , equally loyal to Washington , who went to Boston at this time , Morgan received permission to visit his home in Virginia for several weeks .",3,3,3,
"[BRWN, PARA#13904, SENT#3]","Even now , like a ringing in his ears , he heard the wooooosh of flame-throwers squirting great orange billows .",3,3,2,
"[BRWN, PARA#11230, SENT#3]","Then he looked at his finger , at the wrinkled , heavy knuckle and the thick nail he used like a knife to pry up , slit , and open .",3,3,3,
"[BRWN, PARA#8847, SENT#3]",This has an interesting analogy with the assumption stated by Philippoff that `` the deformational mechanics of elastic solids can be applied to flowing solutions '' .,2,3,3,
"[BRWN, PARA#11226, SENT#7]",`` This coat looks like a rag heap '' .,3,3,3,
"[BRWN, PARA#14692, SENT#1]",Susan looked like an overwhelmed baby nurse ; ;,2,3,3,
"[BRWN, PARA#7713, SENT#1]",Students are approximately equally divided between those who regard vocational preparation as the primary goal of an ideal education and those who chose a general liberal education .,3,3,3,
"[BRWN, PARA#8117, SENT#1]","In sixteen states , the fiscal year ending of the cities ( June 30 ) is the same as that of the state : Alaska , Arizona , California , Delaware , Massachusetts , Montana , Nevada , New Mexico , North Carolina , North Dakota , Oklahoma , Oregon , Vermont , West Virginia , Wyoming , and Hawaii ) .",3,3,3,
"[BRWN, PARA#7556, SENT#2]","Repnin , who had a rather narrow face , longish nose , high forehead , and arching brows , looked like a quizzical Mephistopheles .",3,1,3,
"[BRWN, PARA#7825, SENT#2]","Much criticism has been leveled at this rather forced analogy , but what is equally significant is Adams' complete acceptance of the Biblical record as `` good and trustworthy history '' .",3,3,2,
"[BRWN, PARA#13720, SENT#2]",The Bonaventure was quivering and lurching like an old spavined mare .,3,2,2,
"[BRWN, PARA#1938, SENT#2]","In Laos , the picture was almost equally bad .",3,3,2,
"[BRWN, PARA#7565, SENT#1]","Alexander Vasilievitch Suvorov , now in his fifty-ninth year ( ten years Potemkin's senior ) , was a thin , worn-faced person of less than medium height who looked like a professor of botany .",3,1,3,
"[BRWN, PARA#8921, SENT#10]","Also , it has been suggested that the source of all or part of the dust may not be the same as that for visual or radar meteorites ( Best , 1960 ) , and the same distribution would not be expected .",3,3,3,
"[BRWN, PARA#12439, SENT#2]","there was much to grok , loose ends to puzzle over and fit into his growing -- all that he had seen and heard and been at the Archangel Foster Tabernacle ( not just cusp when he and Digby had come face to face alone ) why Bishop Senator Boone made him warily uneasy , how Miss Dawn Ardent tasted like a water brother when she was not , the smell of goodness he had incompletely grokked in the jumping up and down and wailing --",3,3,3,
"[BRWN, PARA#8704, SENT#2]","The building will contain 430,000 square feet , approximately the same as our present plant .",3,3,3,
"[BRWN, PARA#11566, SENT#1]","Then he heard it , like a muffled thud , felt a subtle change in air pressure .",3,3,3,
"[BRWN, PARA#7317, SENT#2]","Indeed , he looked more like a well-fleshed lay brother of the Hospice of St. Bernard .",3,3,2,
"[BRWN, PARA#14336, SENT#2]","He muttered , and took off , obviously feeling like a fool .",3,3,3,
"[BRWN, PARA#3844, SENT#1]","Keys's findings , though far from complete , are likely to smash many an eating cliche .",3,3,2,
"[BRWN, PARA#3410, SENT#2]",It holds an equally valuable lesson for a society where the word `` intellectual '' has become a term of opprobrium to millions of well-meaning people who somehow imagine that it must be destructive of the simpler human virtues .,3,3,3,
"[BRWN, PARA#11049, SENT#3]","There was the smell of the coast , like a primeval memory , composed of equal parts salt water , clams , seaweed and northern air .",3,3,3,
"[BRWN, PARA#11296, SENT#1]",`` Your dad sounds like a good father and a good policeman .,3,3,3,
"[BRWN, PARA#7751, SENT#6]","Alfred , who was a good deal older than Harry , had treated him like a son , and when Harry decided to stay in business with Lew instead of going with Alfred , Alfred looked on the decision as a betrayal .",3,3,3,
"[BRWN, PARA#9545, SENT#2]","Although it is in some ways comparable to a voluntary sale of assets for cash , to which section 203 quite clearly applies , the courts and Treasury have held that acquiring corporations in several types of non-taxable reorganizations may sue for refund of taxes paid by transferors .",3,3,2,
"[BRWN, PARA#14288, SENT#1]","It was so pretty and artless that she felt like a child again and would have enjoyed running out barefoot to play on the wet grass with all the growing things , but Doaty never permitted bare feet and she was decidedly not a child but une femme d'un certain age .",3,3,3,
"[BRWN, PARA#3533, SENT#1]",But what is equally impressive is the delicacy and wonderful lyric quality of both the band and Mulligan's baritone sax in a fragile ballad like Bob Brookmeyer's arrangement of `` Django's Castle '' .,3,3,3,
"[BRWN, PARA#6695, SENT#1]","His political opponent and lifetime friend , Thomas Jefferson , achieved immortality through his authorship of the Declaration of Independence , but equally notable were the legal and constitutional reforms he instituted in his native Virginia , his role as father of our territorial system , and his acquisition of the Louisiana Territory during his first term as President .",3,3,3,
"[BRWN, PARA#5083, SENT#1]","Not only should every educator above the rank of instructor be expected to be a member of one of the professional organizations , but his first qualification for membership as an educator should be so sharply scrutinized that membership would be equivalent to certification to teach the subject .",3,3,3,
"[BRWN, PARA#6580, SENT#1]",Whether a concept analogous to the principle of internal responsibility operates in a nation's external relations is less obvious and more difficult to establish .,3,3,3,
"[BRWN, PARA#10901, SENT#2]","For the oyabun to make such a trip was either a sign of great weakness or an indication of equally great confidence , and from all the available information it was probably the latter .",3,3,3,
"[BRWN, PARA#12448, SENT#1]","`` I ought to be asleep , too , but I felt like a snack .",3,3,3,
"[BRWN, PARA#11993, SENT#9]","That was more like a thought , but not a great deal more .",3,3,3,
"[BRWN, PARA#11057, SENT#2]",He was like a mean horse to come at from the rear .,1,3,3,
"[BRWN, PARA#9728, SENT#3]",then we shall perhaps be in a position to provide something like a complete answer to the question at hand .,3,3,3,
"[BRWN, PARA#14753, SENT#2]",`` Why don't you paint it red and white like a barber pole '' ? ?,3,3,3,
"[BRWN, PARA#9015, SENT#1]","In the lower portion of each Chart , the Skeletal Age ( Hand ) of boy 34 and girl 2 may be similarly classified .",3,3,3,
"[BRWN, PARA#14300, SENT#2]","Next to the Blackwells , Titus had owned the island most , and she and Adelia had often stood in front of him , silenced by his terrible years -- a scanty man with a thin beard and very deep-set blue eyes like a mariner , more aged than possible .",3,3,3,
"[BRWN, PARA#4502, SENT#6]",Any fraction of an inch involved in the measurement must be converted to a decimal equivalent to simplify the mathematics .,3,3,3,
"[BRWN, PARA#11606, SENT#1]",She was a large woman with a frizzled gray poodle cut and a pencil clamped like a bit between her teeth while she hunted and pecked on an old typewriter .,1,3,3,
"[BRWN, PARA#9931, SENT#3]","like an ominous bird a-wing '' , or `` wrings with wrong '' , or would describe a winter sun as `` God-curst '' .",3,2,3,
"[BRWN, PARA#11286, SENT#6]",You've treated your stay here like a big joke .,3,3,1,
"[BRWN, PARA#10005, SENT#2]","Since experience indicates that effluents from oxidation ponds do not create major problems at these BOD concentrations , the goal for the effluent quality of the accelerated treatment system was the same as from conventional oxidation ponds .",3,3,2,
"[BRWN, PARA#6553, SENT#1]","It is clear that non-violent resistance is a mode of action in need of justification and limitation in Christian morality , like any other form of resistance .",3,3,3,
"[BRWN, PARA#9347, SENT#4]","Or , equally often , a concretistic-seeming , particularistic-seeming statement may consist , with its mundane exterior , in a form of poetry -- may be full of meaning and emotion when interpreted as a figurative expression : a metaphor , a smile , an allegory , or some other symbolic mode of speaking .",3,3,2,
"[BRWN, PARA#10194, SENT#2]",A moment's reflection shows that the above algorithm and presentation work equally well in this case .,3,3,3,
"[BRWN, PARA#14479, SENT#17]",Yet he walked like a young man .,3,3,3,
"[BRWN, PARA#5393, SENT#5]","After the first two were blacked out , the third light was abandoned by a terrified Italian crew , who left their light to shine for nine minutes like an unerring homing beacon until British MP's shot it out .",3,3,3,
"[BRWN, PARA#12850, SENT#4]","Clayton lifted him gently into the saddle , like a child .",3,3,3,
"[BRWN, PARA#6112, SENT#7]","Though by no means an ideal procedure , a red wine may similarly be brought from the cellar to the dining room and opened twenty minutes or so before serving time .",2,3,3,
"[BRWN, PARA#5474, SENT#3]",It seemed like a good time for officials to use a recently-passed law empowering the post office department to contract for the transport of first class mail by air .,3,3,3,
"[BRWN, PARA#13550, SENT#5]","Would you like a drink , or coffee '' ? ?",3,3,3,
"[BRWN, PARA#12489, SENT#7]",The sooner you act like an angel the quicker you'll feel angelic .,3,3,3,
"[BRWN, PARA#7410, SENT#10]","Again , Henley's attitude of defiance which colors his ideal of self-mastery is far from characteristic of a Stoic thinker like Marcus Aurelius , whose gentle acquiescence is almost Christian , comparable to the patience expressed in Milton's sonnet on his own blindness .",3,3,1,
"[BRWN, PARA#11013, SENT#1]","He was tired , he had his business worries , and the sight of his wife arranging pork chops in the broiler only seemed like an extension of a boring day .",3,3,3,
"[BRWN, PARA#12441, SENT#4]",Repeating it like a student telling himself that the jewel is in the lotus he sank into nirvana .,2,3,2,
"[BRWN, PARA#5228, SENT#13]",We also have an ' engineering section head -- research engineer ' classification which has salary possibilities equivalent to that of a research engineer .,2,3,3,
"[BRWN, PARA#10381, SENT#4]","But it also looked like a toad , hopping away from the light .",2,3,3,
"[BRWN, PARA#9388, SENT#6]","and somewhat similarly for plants , 16 as against 4 .",2,3,2,
"[BRWN, PARA#418, SENT#1]","Split badly during the recent presidential election into almost equally divided camps of party loyalists and independents , the Democratic party in Mississippi is currently a wreck .",3,3,1,
"[BRWN, PARA#7929, SENT#7]","While he is worldly , the musician often cultivates public attitudes of childlike astonishment and naivete .",3,3,3,
"[BRWN, PARA#12389, SENT#6]","The man was uncanny , like a shadow , and made as much noise as a shadow .",3,3,1,
"[BRWN, PARA#11896, SENT#4]","Thornburg added in a lower voice but Andy overheard , `` They act more like a jury than an audience '' .",1,3,3,
"[BRWN, PARA#4508, SENT#7]","Fury has made a few mistakes but looks like a wonderful prospect , with his impressive gait and stride which certainly make him cover the ground .",1,3,3,
"[BRWN, PARA#9271, SENT#5]","This comment and others similar to it , would seem to indicate a possible justification for continuing the status quo .",3,3,3,
"[BRWN, PARA#15420, SENT#5]",The suicide attempt looked to him like an opportunity to put his theory to the test .,3,3,3,
"[BRWN, PARA#12554, SENT#2]","And it might be , considering the uncomfortable custom the Angels had of thinking of everything in terms of absolutes , that the proposal of anything less might well amount instead to something like a declaration of war .",3,3,3,
"[BRWN, PARA#14287, SENT#4]","On a thrusting spray thick with thorns and dewdrops and swelling pink buds , like a summer Valentine , a bird balanced and sang , nondescriptly brown and alive with its own music , a little engine of song .",3,3,1,
"[BRWN, PARA#9081, SENT#4]","If this is the case , one would expect that not only the various procedures just mentioned which alter the hypothalamic balance would influence emotional state and behavior but that emotion itself would act likewise .",3,3,3,
"[BRWN, PARA#9021, SENT#3]",Forty other figures similar to 5 and 6 and the original data used in the construction of all figures and tables in this monograph have been included in the Appendix .,3,3,3,
"[BRWN, PARA#12216, SENT#3]","Springing like a cat , he leaped back , swooped up the spring gun and , whirling , pointed it toward the cabin .",3,3,1,
"[BRWN, PARA#8539, SENT#3]","This aircraft , which was planned for initial operational use about 1965 , would be complementary to but likewise competitive with the four strategic ballistic missile systems , all of which are scheduled to become available earlier .",3,3,3,
"[BRWN, PARA#6570, SENT#11]",It is extraordinary that a people as proud and warlike as Southerners should have been as docile as they have .,3,3,2,
"[BRWN, PARA#8950, SENT#1]","In the present work whole sera have been fractionated by chromatography on DEAE-cellulose using single gradients similar to those described by Sober and Peterson , and certain chemical and serological properties of the fractions containing antibodies of the ABO and Rh systems have been described .",2,3,3,
"[BRWN, PARA#13551, SENT#2]","She stood up , pulled the coat from her shoulders and started to slide it off , then let out a high-pitched scream and I let out a low-pitched , wobbling sound like a muffler blowing out .",3,3,3,
"[BRWN, PARA#5764, SENT#2]",What we have here is in some ways more like an ordinary conversation .,3,3,3,
"[BRWN, PARA#9059, SENT#2]",The intermediate sera were also similarly absorbed with tissue powder .,3,3,3,
"[BRWN, PARA#7942, SENT#11]","And it is also a fact of life that there will always ( be youngish half-educated people around , who will be dazzled by the glitter of what looks like a literary movement .",3,1,3,
"[BRWN, PARA#12968, SENT#4]",Coming over the wall he had seemed like a hideous devil .,3,3,1,
"[BRWN, PARA#5656, SENT#1]",In the morning she found rooms directly across from the Excelsior at the equally luxurious Hotel Ambassador .,3,3,3,
"[BRWN, PARA#12967, SENT#5]",It sounded like a man kicking a melon .,3,3,3,
"[BRWN, PARA#1967, SENT#2]","Once more the fallacious equation is advanced to argue that since business is restricted under the anti-monopoly laws , there must be a corresponding restriction against labor unions : the law must treat everybody equally .",3,3,3,
"[BRWN, PARA#8516, SENT#2]",Similar restrictions on the strength of the Army National Guard contained in the 1960 Department of Defense Appropriation Act should likewise be dropped .,3,3,3,
"[BRWN, PARA#9613, SENT#3]","A decision to refer workers to jobs vacant because of a strike would have to be applied equally to nonagricultural situations , and might in effect place the public employment services in the position of acting as strikebreakers .",3,3,3,
"[BRWN, PARA#10607, SENT#4]","He thought of Simms Purdew , who once had risen at the edge of a cornfield , a maniacal scream on his lips , and swung a clubbed musket like a flail to beat down the swirl of Rebel bayonets about him .",3,3,1,
