"name","text"
"[10, PARA#20247, SENT#1]","6 : 49 But he that heareth , and doeth not , is like a man that without a foundation built an house upon the earth ; against which the stream did beat vehemently , and immediately it fell ; and the ruin of that house was great ."
"[10, PARA#20518, SENT#3]","13 : 19 It is like a grain of mustard seed , which a man took , and cast into his garden ; and it grew , and waxed a great tree ; and the fowls of the air lodged in the branches of it ."
"[10, PARA#20519, SENT#2]","13 : 21 It is like leaven , which a woman took and hid in three measures of meal , till the whole was leavened ."
"[10, PARA#21218, SENT#2]","9 : 9 Some said , This is he : others said , He is like him : but he said , I am he ."
"[10, PARA#22076, SENT#1]","17 : 29 Forasmuch then as we are the offspring of God , we ought not to think that the Godhead is like unto gold , or silver , or stone , graven by art and man ' s device ."
"[10, PARA#23965, SENT#2]","For he that wavereth is like a wave of the sea driven with the wind and tossed ."
"[10, PARA#23979, SENT#1]","1 : 23 For if any be a hearer of the word , and not a doer , he is like unto a man beholding his natural face in a glass : 1 : 24 For he beholdeth himself , and goeth his way , and straightway forgetteth what manner of man he was ."
"[10, PARA#24450, SENT#1]","13 : 4 And they worshipped the dragon which gave power unto the beast : and they worshipped the beast , saying , Who is like unto the beast ?"
"[10, PARA#24532, SENT#3]","And every shipmaster , and all the company in ships , and sailors , and as many as trade by sea , stood afar off , 18 : 18 And cried when they saw the smoke of her burning , saying , What city is like unto this great city !"
"[10, PARA#10211, SENT#3]","13 : 12 Your remembrances are like unto ashes , your bodies to bodies of clay ."
"[10, PARA#10699, SENT#1]","40 : 18 His bones are as strong pieces of brass ; his bones are like bars of iron ."
"[10, PARA#10713, SENT#1]","41 : 18 By his neesings a light doth shine , and his eyes are like the eyelids of the morning ."
"[10, PARA#10750, SENT#1]","1 : 4 The ungodly are not so : but are like the chaff which the wind driveth away ."
"[10, PARA#12198, SENT#1]","90 : 5 Thou carriest them away as with a flood ; they are as a sleep : in the morning they are like grass which groweth up ."
"[10, PARA#12347, SENT#1]","102 : 11 My days are like a shadow that declineth ; and I am withered like grass ."
"[10, PARA#12653, SENT#1]","115 : 8 They that make them are like unto them ; so is every one that trusteth in them ."
"[10, PARA#13009, SENT#1]","135 : 18 They that make them are like unto them : so is every one that trusteth in them ."
"[10, PARA#13654, SENT#1]","18 : 19 A brother offended is harder to be won than a strong city : and their contentions are like the bars of a castle ."
"[10, PARA#13867, SENT#1]","26 : 23 Burning lips and a wicked heart are like a potsherd covered with silver dross ."
"[10, PARA#14218, SENT#1]","4 : 2 Thy teeth are like a flock of sheep that are even shorn , which came up from the washing ; whereof every one bear twins , and none is barren among them ."
"[10, PARA#14219, SENT#1]","4 : 3 Thy lips are like a thread of scarlet , and thy speech is comely : thy temples are like a piece of a pomegranate within thy locks ."
"[10, PARA#14221, SENT#1]","4 : 5 Thy two breasts are like two young roes that are twins , which feed among the lilies ."
"[10, PARA#14256, SENT#2]","the joints of thy thighs are like jewels , the work of the hands of a cunning workman ."
"[10, PARA#14258, SENT#1]","7 : 3 Thy two breasts are like two young roes that are twins ."
"[10, PARA#15199, SENT#1]","57 : 20 But the wicked are like the troubled sea , when it cannot rest , whose waters cast up mire and dirt ."
"[10, PARA#16737, SENT#2]","13 : 4 O Israel , thy prophets are like the foxes in the deserts ."
"[10, PARA#16938, SENT#1]","22 : 27 Her princes in the midst thereof are like wolves ravening the prey , to shed blood , and to destroy souls , to get dishonest gain ."
"[10, PARA#17945, SENT#1]","7 : 16 They return , but not to the most High : they are like a deceitful bow : their princes shall fall by the sword for the rage of their tongue : this shall be their derision in the land of Egypt ."
"[10, PARA#19307, SENT#2]","for ye are like unto whited sepulchres , which indeed appear beautiful outward , but are within full of dead men ' s bones , and of all uncleanness ."
"[10, PARA#20274, SENT#3]","7 : 32 They are like unto children sitting in the marketplace , and calling one to another , and saying , We have piped unto you , and ye have not danced ; we have mourned to you , and ye have not wept ."
"[10, PARA#24305, SENT#1]","2 : 18 And unto the angel of the church in Thyatira write ; These things saith the Son of God , who hath his eyes like unto a flame of fire , and his feet are like fine brass ; 2 : 19 I know thy works , and charity , and service , and faith , and thy patience , and thy works ; and the last to be more than the first ."
"[10, PARA#5272, SENT#3]","And he brake them from off his arms like a thread ."
"[10, PARA#5862, SENT#1]","17 : 7 And the staff of his spear was like a weaver ' s beam ; and his spear ' s head weighed six hundred shekels of iron : and one bearing a shield went before him ."
"[10, PARA#6682, SENT#1]","21 : 19 And there was again a battle in Gob with the Philistines , where Elhanan the son of Jaareoregim , a Bethlehemite , slew the brother of Goliath the Gittite , the staff of whose spear was like a weaver ' s beam ."
"[10, PARA#7304, SENT#1]","18 : 44 And it came to pass at the seventh time , that he said , Behold , there ariseth a little cloud out of the sea , like a man ' s hand ."
"[10, PARA#8351, SENT#1]","11 : 23 And he slew an Egyptian , a man of great stature , five cubits high ; and in the Egyptian ' s hand was a spear like a weaver ' s beam ; and he went down to him with a staff , and plucked the spear out of the Egyptian ' s hand , and slew him with his own spear ."
"[10, PARA#8516, SENT#1]","20 : 5 And there was war again with the Philistines ; and Elhanan the son of Jair slew Lahmi the brother of Goliath the Gittite , whose spear staff was like a weaver ' s beam ."
"[10, PARA#10128, SENT#2]","and how long shall the words of thy mouth be like a strong wind ?"
"[10, PARA#10178, SENT#3]","11 : 12 For vain men would be wise , though man be born like a wild ass ' s colt ."
"[10, PARA#10203, SENT#1]","12 : 25 They grope in the dark without light , and he maketh them to stagger like a drunken man ."
"[10, PARA#10226, SENT#1]","14 : 2 He cometh forth like a flower , and is cut down : he fleeth also as a shadow , and continueth not ."
"[10, PARA#10230, SENT#1]","14 : 8 Though the root thereof wax old in the earth , and the stock thereof die in the ground ; 14 : 9 Yet through the scent of water it will bud , and bring forth boughs like a plant ."
"[10, PARA#10271, SENT#1]","16 : 14 He breaketh me with breach upon breach , he runneth upon me like a giant ."
"[10, PARA#10315, SENT#1]","19 : 10 He hath destroyed me on every side , and I am gone : and mine hope hath he removed like a tree ."
"[10, PARA#10357, SENT#1]","21 : 11 They send forth their little ones like a flock , and their children dance ."
"[10, PARA#10663, SENT#2]","38 : 3 Gird up now thy loins like a man ; for I will demand of thee , and answer thou me ."
"[10, PARA#10690, SENT#1]","40 : 6 Then answered the LORD unto Job out of the whirlwind , and said , 40 : 7 Gird up thy loins now like a man : I will demand of thee , and declare thou unto me ."
"[10, PARA#10698, SENT#1]","40 : 17 He moveth his tail like a cedar : the sinews of his stones are wrapped together ."
"[10, PARA#10726, SENT#1]","41 : 31 He maketh the deep to boil like a pot : he maketh the sea like a pot of ointment ."
"[10, PARA#10749, SENT#1]","1 : 3 And he shall be like a tree planted by the rivers of water , that bringeth forth his fruit in his season ; his leaf also shall not wither ; and whatsoever he doeth shall prosper ."
"[10, PARA#10761, SENT#1]","2 : 9 Thou shalt break them with a rod of iron ; thou shalt dash them in pieces like a potter ' s vessel ."
"[10, PARA#10806, SENT#1]","7 : 2 Lest he tear my soul like a lion , rending it in pieces , while there is none to deliver ."
"[10, PARA#11028, SENT#1]","22 : 15 My strength is dried up like a potsherd ; and my tongue cleaveth to my jaws ; and thou hast brought me into the dust of death ."
"[10, PARA#11123, SENT#1]","29 : 6 He maketh them also to skip like a calf ; Lebanon and Sirion like a young unicorn ."
"[10, PARA#11153, SENT#1]","31 : 12 I am forgotten as a dead man out of mind : I am like a broken vessel ."
"[10, PARA#11295, SENT#1]","37 : 35 I have seen the wicked in great power , and spreading himself like a green bay tree ."
"[10, PARA#11334, SENT#1]","39 : 11 When thou with rebukes dost correct man for iniquity , thou makest his beauty to consume away like a moth : surely every man is vanity ."
"[10, PARA#11524, SENT#1]","52 : 2 The tongue deviseth mischiefs ; like a sharp razor , working deceitfully ."
"[10, PARA#11530, SENT#1]","52 : 8 But I am like a green olive tree in the house of God : I trust in the mercy of God for ever and ever ."
"[10, PARA#11550, SENT#1]","55 : 6 And I said , Oh that I had wings like a dove !"
"[10, PARA#11609, SENT#1]","59 : 6 They return at evening : they make a noise like a dog , and go round about the city ."
"[10, PARA#11617, SENT#1]","59 : 14 And at evening let them return ; and let them make a noise like a dog , and go round about the city ."
"[10, PARA#11666, SENT#1]","64 : 3 Who whet their tongue like a sword , and bend their bows to shoot their arrows , even bitter words :"
"[10, PARA#11926, SENT#1]","77 : 20 Thou leddest thy people like a flock by the hand of Moses and Aaron ."
"[10, PARA#11978, SENT#1]","78 : 52 But made his own people to go forth like sheep , and guided them in the wilderness like a flock ."
"[10, PARA#11983, SENT#1]","78 : 57 But turned back , and dealt unfaithfully like their fathers : they were turned aside like a deceitful bow ."
"[10, PARA#11991, SENT#1]","78 : 65 Then the LORD awaked as one out of sleep , and like a mighty man that shouteth by reason of wine ."
"[10, PARA#12012, SENT#1]","80 : 1 Give ear , O Shepherd of Israel , thou that leadest Joseph like a flock ; thou that dwellest between the cherubims , shine forth ."
"[10, PARA#12069, SENT#1]","83 : 13 O my God , make them like a wheel ; as the stubble before the wind ."
"[10, PARA#12238, SENT#1]","92 : 12 The righteous shall flourish like the palm tree : he shall grow like a cedar in Lebanon ."
"[10, PARA#12342, SENT#1]","102 : 6 I am like a pelican of the wilderness : I am like an owl of the desert ."
"[10, PARA#12362, SENT#1]","102 : 26 They shall perish , but thou shalt endure : yea , all of them shall wax old like a garment ; as a vesture shalt thou change them , and they shall be changed :"
"[10, PARA#12388, SENT#1]","104 : 2 Who coverest thyself with light as with a garment : who stretchest out the heavens like a curtain :"
"[10, PARA#12462, SENT#1]","105 : 41 He opened the rock , and the waters gushed out ; they ran in the dry places like a river ."
"[10, PARA#12541, SENT#1]","107 : 27 They reel to and fro , and stagger like a drunken man , and are at their wit ' s end ."
"[10, PARA#12555, SENT#1]","107 : 41 Yet setteth he the poor on high from affliction , and maketh him families like a flock ."
"[10, PARA#12797, SENT#1]","119 : 83 For I am become like a bottle in the smoke ; yet do I not forget thy statutes ."
"[10, PARA#12890, SENT#1]","119 : 176 I have gone astray like a lost sheep ; seek thy servant ; for I do not forget thy commandments ."
"[10, PARA#13083, SENT#1]","140 : 3 They have sharpened their tongues like a serpent ; adders ' poison is under their lips ."
"[10, PARA#13630, SENT#1]","17 : 22 A merry heart doeth good like a medicine : but a broken spirit drieth the bones ."
"[10, PARA#13796, SENT#1]","23 : 32 At the last it biteth like a serpent , and stingeth like an adder ."
"[10, PARA#14207, SENT#1]","2 : 17 Until the day break , and the shadows flee away , turn , my beloved , and be thou like a roe or a young hart upon the mountains of Bether ."
"[10, PARA#14357, SENT#1]","5 : 26 And he will lift up an ensign to the nations from far , and will hiss unto them from the end of the earth : and , behold , they shall come with speed swiftly : 5 : 27 None shall be weary nor stumble among them ; none shall slumber nor sleep ; neither shall the girdle of their loins be loosed , nor the latchet of their shoes be broken : 5 : 28 Whose arrows are sharp , and all their bows bent , their horses ' hoofs shall be counted like flint , and their wheels like a whirlwind : 5 : 29 Their roaring shall be like a lion , they shall roar like young lions : yea , they shall roar , and lay hold of the prey , and shall carry it away safe , and none shall deliver it ."
"[10, PARA#14430, SENT#1]","10 : 13 For he saith , By the strength of my hand I have done it , and by my wisdom ; for I am prudent : and I have removed the bounds of the people , and have robbed their treasures , and I have put down the inhabitants like a valiant man : 10 : 14 And my hand hath found as a nest the riches of the people : and as one gathereth eggs that are left , have I gathered all the earth ; and there was none that moved the wing , or opened the mouth , or peeped ."
"[10, PARA#14544, SENT#2]","17 : 13 The nations shall rush like the rushing of many waters : but God shall rebuke them , and they shall flee far off , and shall be chased as the chaff of the mountains before the wind , and like a rolling thing before the whirlwind ."
"[10, PARA#14548, SENT#1]","18 : 4 For so the LORD said unto me , I will take my rest , and I will consider in my dwelling place like a clear heat upon herbs , and like a cloud of dew in the heat of harvest ."
"[10, PARA#14605, SENT#1]","22 : 18 He will surely violently turn and toss thee like a ball into a large country : there shalt thou die , and there the chariots of thy glory shall be the shame of thy lord ' s house ."
"[10, PARA#14648, SENT#1]","24 : 20 The earth shall reel to and fro like a drunkard , and shall be removed like a cottage ; and the transgression thereof shall be heavy upon it ; and it shall fall , and not rise again ."
"[10, PARA#14692, SENT#1]","27 : 10 Yet the defenced city shall be desolate , and the habitation forsaken , and left like a wilderness : there shall the calf feed , and there shall he lie down , and consume the branches thereof ."
"[10, PARA#14760, SENT#1]","30 : 33 For Tophet is ordained of old ; yea , for the king it is prepared ; he hath made it deep and large : the pile thereof is fire and much wood ; the breath of the LORD , like a stream of brimstone , doth kindle it ."
"[10, PARA#14884, SENT#1]","38 : 12 Mine age is departed , and is removed from me as a shepherd ' s tent : I have cut off like a weaver my life : he will cut me off with pining sickness : from day even to night wilt thou make an end of me ."
"[10, PARA#14908, SENT#1]","40 : 11 He shall feed his flock like a shepherd : he shall gather the lambs with his arm , and carry them in his bosom , and shall gently lead those that are with young ."
"[10, PARA#14959, SENT#1]","42 : 13 The LORD shall go forth as a mighty man , he shall stir up jealousy like a man of war : he shall cry , yea , roar ; he shall prevail against his enemies ."
"[10, PARA#14960, SENT#1]","42 : 14 I have long time holden my peace ; I have been still , and refrained myself : now will I cry like a travailing woman ; I will destroy and devour at once ."
"[10, PARA#15075, SENT#1]","49 : 2 And he hath made my mouth like a sharp sword ; in the shadow of his hand hath he hid me , and made me a polished shaft ; in his quiver hath he hid me ; 49 : 3 And said unto me , Thou art my servant , O Israel , in whom I will be glorified ."
"[10, PARA#15102, SENT#1]","50 : 7 For the Lord GOD will help me ; therefore shall I not be confounded : therefore have I set my face like a flint , and I know that I shall not be ashamed ."
"[10, PARA#15112, SENT#1]","51 : 6 Lift up your eyes to the heavens , and look upon the earth beneath : for the heavens shall vanish away like smoke , and the earth shall wax old like a garment , and they that dwell therein shall die in like manner : but my salvation shall be for ever , and my righteousness shall not be abolished ."
"[10, PARA#15114, SENT#1]","51 : 8 For the moth shall eat them up like a garment , and the worm shall eat them like wool : but my righteousness shall be for ever , and my salvation from generation to generation ."
"[10, PARA#15201, SENT#1]","58 : 1 Cry aloud , spare not , lift up thy voice like a trumpet , and shew my people their transgression , and the house of Jacob their sins ."
"[10, PARA#15206, SENT#2]","If thou take away from the midst of thee the yoke , the putting forth of the finger , and speaking vanity ; 58 : 10 And if thou draw out thy soul to the hungry , and satisfy the afflicted soul ; then shall thy light rise in obscurity , and thy darkness be as the noon day : 58 : 11 And the LORD shall guide thee continually , and satisfy thy soul in drought , and make fat thy bones : and thou shalt be like a watered garden , and like a spring of water , whose waters fail not ."
"[10, PARA#15225, SENT#2]","When the enemy shall come in like a flood , the Spirit of the LORD shall lift up a standard against him ."
"[10, PARA#15320, SENT#1]","66 : 12 For thus saith the LORD , Behold , I will extend peace to her like a river , and the glory of the Gentiles like a flowing stream : then shall ye suck , ye shall be borne upon her sides , and be dandled upon her knees ."
"[10, PARA#15323, SENT#1]","66 : 15 For , behold , the LORD will come with fire , and with his chariots like a whirlwind , to render his anger with fury , and his rebuke with flames of fire ."
"[10, PARA#15371, SENT#1]","2 : 30 In vain have I smitten your children ; they received no correction : your own sword hath devoured your prophets , like a destroying lion ."
"[10, PARA#15531, SENT#2]","and who is he to whom the mouth of the LORD hath spoken , that he may declare it , for what the land perisheth and is burned up like a wilderness , that none passeth through ?"
"[10, PARA#15578, SENT#1]","11 : 19 But I was like a lamb or an ox that is brought to the slaughter ; and I knew not that they had devised devices against me , saying , Let us destroy the tree with the fruit thereof , and let us cut him off from the land of the living , that his name may be no more remembered ."
"[10, PARA#15767, SENT#1]","23 : 9 Mine heart within me is broken because of the prophets ; all my bones shake ; I am like a drunken man , and like a man whom wine hath overcome , because of the LORD , and because of the words of his holiness ."
"[10, PARA#15784, SENT#1]","23 : 29 Is not my word like as a fire ?"
"[10, PARA#15819, SENT#1]","25 : 34 Howl , ye shepherds , and cry ; and wallow yourselves in the ashes , ye principal of the flock : for the days of your slaughter and of your dispersions are accomplished ; and ye shall fall like a pleasant vessel ."
"[10, PARA#15836, SENT#1]","26 : 17 Then rose up certain of the elders of the land , and spake to all the assembly of the people , saying , 26 : 18 Micah the Morasthite prophesied in the days of Hezekiah king of Judah , and spake to all the people of Judah , saying , Thus saith the LORD of hosts ; Zion shall be plowed like a field , and Jerusalem shall become heaps , and the mountain of the house as the high places of a forest ."
"[10, PARA#16159, SENT#2]","46 : 8 Egypt riseth up like a flood , and his waters are moved like the rivers ; and he saith , I will go up , and will cover the earth ; I will destroy the city and the inhabitants thereof ."
"[10, PARA#16173, SENT#1]","46 : 22 The voice thereof shall go like a serpent ; for they shall march with an army , and come against her with axes , as hewers of wood ."
"[10, PARA#16214, SENT#1]","48 : 38 There shall be lamentation generally upon all the housetops of Moab , and in the streets thereof : for I have broken Moab like a vessel wherein is no pleasure , saith the LORD ."
"[10, PARA#16295, SENT#1]","50 : 42 They shall hold the bow and the lance : they are cruel , and will not shew mercy : their voice shall roar like the sea , and they shall ride upon horses , every one put in array , like a man to the battle , against thee , O daughter of Babylon ."
"[10, PARA#16327, SENT#1]","51 : 34 Nebuchadrezzar the king of Babylon hath devoured me , he hath crushed me , he hath made me an empty vessel , he hath swallowed me up like a dragon , he hath filled his belly with my delicates , he hath cast me out ."
"[10, PARA#16404, SENT#1]","2 : 3 He hath cut off in his fierce anger all the horn of Israel : he hath drawn back his right hand from before the enemy , and he burned against Jacob like a flaming fire , which devoureth round about ."
"[10, PARA#16417, SENT#1]","2 : 18 Their heart cried unto the LORD , O wall of the daughter of Zion , let tears run down like a river day and night : give thyself no rest ; let not the apple of thine eye cease ."
"[10, PARA#16466, SENT#1]","3 : 52 Mine enemies chased me sore , like a bird , without cause ."
"[10, PARA#16485, SENT#1]","4 : 7 Her Nazarites were purer than snow , they were whiter than milk , they were more ruddy in body than rubies , their polishing was of sapphire : 4 : 8 Their visage is blacker than a coal ; they are not known in the streets : their skin cleaveth to their bones ; it is withered , it is become like a stick ."
"[10, PARA#16936, SENT#1]","22 : 25 There is a conspiracy of her prophets in the midst thereof , like a roaring lion ravening the prey ; they have devoured souls ; they have taken the treasure and precious things ; they have made her many widows in the midst thereof ."
"[10, PARA#17125, SENT#1]","32 : 1 And it came to pass in the twelfth year , in the twelfth month , in the first day of the month , that the word of the LORD came unto me , saying , 32 : 2 Son of man , take up a lamentation for Pharaoh king of Egypt , and say unto him , Thou art like a young lion of the nations , and thou art as a whale in the seas : and thou camest forth with thy rivers , and troubledst the waters with thy feet , and fouledst their rivers ."
