ID, Sentence, Target, Base
"[BRWN, PARA#10517, SENT#7]","The redcoat officer collapsed like a punctured bolster , and the horse reared and threw him from the saddle , except that one booted foot caught in the stirrup .","(NP (DT The) (NN redcoat) (NN officer))","(NP (DT a) (JJ punctured) (NN bolster))"
"[BRWN, PARA#13928, SENT#1]","As Matsuo climbed by using the vines and kicking his feet against the trunk , a mood of gloom immersed him like a jungle shadow .","(NP (NP (DT a) (NN mood)) (PP (IN of) (NP (NN gloom))))","(NP (DT a) (NN jungle) (NN shadow))"
"[BRWN, PARA#14854, SENT#3]","But Chris brightened up like a candle .","(NP (NNP Chris))","(NP (DT a) (NN candle))"
"[BRWN, PARA#4370, SENT#2]","Aids sounds more like a Pony Club , or horsemanship classes -- riding a horse and showing a dog are very similar ! !","[]","None"
"[BRWN, PARA#5915, SENT#16]","But I would say I recond he did not mind it for he had a plenty more left and then they would lean to me like a sore eyd kitten to a basin of milk '' .","[Tree('NP', [Tree('PRP', ['they'])]), None, Tree('VB', ['lean']), Tree('PP', [Tree('TO', ['to']), Tree('NP', [Tree('PRP', ['me'])])]), Tree('MD', ['would'])]","(NP (DT a) (JJ sore) (NN eyd) (NN kitten))"
"[BRWN, PARA#9134, SENT#4]","This theorem is similar to the theorem of Kakutani that there exists a circumscribing cube around any closed , bounded convex set in Af .","(NP (DT This) (NN theorem))","(PP
  (TO to)
  (NP (NP (DT the) (NN theorem)) (PP (IN of) (NP (NNP Kakutani)))))"
"[BRWN, PARA#11825, SENT#3]","His hands snatched at an imaginary bucket , swooping down hard to grab it and coming away with equal snap like a ball that's been bounced hard .","(VP
  (VBG swooping)
  (ADVP (RB down) (RB hard))
  (S (VP (TO to) (VP (VB grab) (NP (PRP it))))))","(NP
  (NP (DT a) (NN ball))
  (SBAR
    (WHNP (WDT that))
    (S (VP (VBZ 's) (VP (VBN been) (ADJP (RB bounced) (JJ hard)))))))"
"[BRWN, PARA#3874, SENT#5]","For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .","(NP (DT the) (NN play))","(NP (DT a) (NN spell))"
"[BRWN, PARA#2794, SENT#6]","Bitterness comes over him and the taste of time is like unripe persimmons in his mouth .","(NP (NP (DT the) (NN taste)) (PP (IN of) (NP (NN time))))","(NP
  (NP (JJ unripe) (NNS persimmons))
  (PP (IN in) (NP (PRP$ his) (NN mouth))))"
"[BRWN, PARA#149, SENT#1]","The aged care plan , similar to one the President sponsored last year as a senator , a fight on Capitol hill .","None","(PP (TO to) (NP (CD one)))"
"[BRWN, PARA#2288, SENT#2]","Thousands of buffalo ( `` bison '' they will never be to the man on the street ) grazing like a mobile brown throw-rug upon the rolling , dusty-green grassland .","(NP
  (NP (NP (NNS Thousands)) (PP (IN of) (NP (NN buffalo))))
  (PRN
    (-LRB- -LRB-)
    (NP
      (NP (`` ``) (NN bison) ('' ''))
      (SBAR
        (S
          (NP (PRP they))
          (VP
            (MD will)
            (ADVP (RB never))
            (VP
              (VB be)
              (PP
                (TO to)
                (NP
                  (NP (DT the) (NN man))
                  (PP (IN on) (NP (DT the) (NN street))))))))))
    (-RRB- -RRB-)))","(NP (DT a) (JJ mobile) (JJ brown) (NN throw-rug))"
"[BRWN, PARA#7095, SENT#2]","The first news stories had it that this blaze was started by a bolt of lightning , as though Miriam could call down fire from heaven like a prophet of the Old Testament .","(NP (NNP Miriam))","(NP
  (NP (DT a) (NN prophet))
  (PP (IN of) (NP (DT the) (JJ Old) (NN Testament))))"
"[BRWN, PARA#14002, SENT#3]","Charles , also fifteen , was tall and skinny , scraggly , with straight black hair like an Indian's and sharp brown eyes .","(NP
  (NP (NNP Charles))
  (, ,)
  (RRC (ADVP (RB also)) (NP (CD fifteen)))
  (, ,))","(NP
  (NP (DT an) (NNP Indian) (POS 's))
  (CC and)
  (NP (JJ sharp) (JJ brown) (NNS eyes)))"
"[BRWN, PARA#14920, SENT#7]","I felt like a Hun in Rome .","[Tree('NP', [Tree('PRP', ['I'])]), None, Tree('VBD', ['felt'])]","(NP (DT a) (NNP Hun))"
"[BRWN, PARA#15656, SENT#1]","`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non-time '' .","(PP
  (IN of)
  (NP
    (NP (DT the) (NN moment))
    (VP (VBG resting) (ADVP (RB forever)))))","(NP (DT a) (JJ huge) (NN balloon))"
"[BRWN, PARA#10277, SENT#4]","At the slope's base coils of concertina stretched out of eye range like a wild tangle of children's hoops , stopped simultaneously , weirdly poised as if awaiting the magic of the child's touch to start them all rolling again .","(NP (NP (NNS coils)) (PP (IN of) (NP (NN concertina))))","(NP
  (NP (DT a) (JJ wild) (NN tangle))
  (PP (IN of) (NP (NP (NNS children) (POS 's)) (NNS hoops)))
  (, ,)
  (VP (VBN stopped) (ADVP (RB simultaneously)))
  (, ,)
  (VP (ADVP (RB weirdly)) (VBN poised)))"
"[BRWN, PARA#6824, SENT#3]","The specific analogy to the dilemma of love is the problem of the `` breakthrough '' in the realm of art .","None","None"
"[BRWN, PARA#13531, SENT#1]","Teeth again flashing back at me , the driver released a deluge of Spanish in which `` amigo '' appeared every so often like an island in the stormy waves of surrounding sound .","(NP (`` ``) (NN amigo) ('' ''))","(NP
  (NP (DT an) (NN island))
  (PP
    (IN in)
    (NP
      (NP (DT the) (JJ stormy) (NNS waves))
      (PP (IN of) (NP (VBG surrounding) (NN sound))))))"
"[BRWN, PARA#13610, SENT#3]","Her legs were the full , sexy kind , full bodied like a rare wine and just as tantalizing to the appetite ; ;","(NP (DT the) (JJ full) (, ,) (JJ sexy) (NN kind))","(NP (DT a) (JJ rare) (NN wine))"
"[BRWN, PARA#4051, SENT#12]","To propose that men be religious without having religious institutions is like proposing that they be learned without having schools .","(S
  (VP
    (TO To)
    (VP
      (VB propose)
      (SBAR
        (IN that)
        (S
          (NP (NNS men))
          (VP
            (VB be)
            (VP
              (VBN religious)
              (PP
                (IN without)
                (S
                  (VP
                    (VBG having)
                    (NP (JJ religious) (NNS institutions))))))))))))","(S
  (VP
    (VBG proposing)
    (SBAR
      (IN that)
      (S
        (NP (PRP they))
        (VP
          (VB be)
          (VP
            (VBN learned)
            (PP
              (IN without)
              (S (VP (VBG having) (NP (NNS schools)))))))))))"
"[BRWN, PARA#6820, SENT#5]","`` A miracle , a revelation , it was like a curtain suddenly torn away to reveal something nude '' .","(NP
  (NP (DT A) (NN miracle))
  (, ,)
  (NP (NP (DT a) (NN revelation)) (, ,) (NP (PRP it))))","(NP
  (NP (DT a) (NN curtain))
  (VP
    (ADVP (RB suddenly))
    (VBN torn)
    (PRT (RP away))
    (S
      (VP
        (TO to)
        (VP (VB reveal) (S (NP (NN something)) (ADJP (JJ nude))))))))"
"[BRWN, PARA#14984, SENT#2]","Her Cousin Emma Carraway had written it , in her loose high old lady's script -- t's carefully crossed , but l's inclined to wobble like an old car on the downward slope .","(VB wobble)","(NP
  (NP (DT an) (JJ old) (NN car))
  (PP (IN on) (NP (DT the) (JJ downward) (NN slope))))"
"[BRWN, PARA#13298, SENT#3]","If someone were to drop a match in here , this place would go up like a haystack '' .","(NP (DT this) (NN place))","(NP (DT a) (NN haystack))"
"[BRWN, PARA#10282, SENT#7]","And with each sigh , like a whip in the hand of an expert , the grass stripped something from Warren .","(PP (IN with) (NP (DT each) (NN sigh)))","(NP
  (NP (DT a) (NN whip))
  (PP
    (IN in)
    (NP
      (NP (DT the) (NN hand))
      (PP (IN of) (NP (DT an) (NN expert))))))"
"[BRWN, PARA#3976, SENT#3]","Pleasure , fame and fortune , drowning your troubles with a drink , and `` living it up '' with the gang are like candy bars when you're hungry : they may ease your hunger temporarily , but they'll never take the place of a satisfying , mouth-watering steak .","(S
  (VP
    (VBG living)
    (NP (PRP it))
    (ADVP (RP up) ('' '') (PP (IN with) (NP (DT the) (NN gang))))))","(NP (NN candy) (NNS bars))"
"[BRWN, PARA#10409, SENT#3]","The steeple leaned backward , while the church advanced like a headless creature in a long , shapeless coat .","(NP (DT the) (NN church))","(NP (DT a) (JJ headless) (NN creature))"
"[BRWN, PARA#13409, SENT#2]","Behind its ornate facade the notorious dive clung like a bird's nest to the rocky ribs of the canyonside .","[]","None"
"[BRWN, PARA#15025, SENT#3]","I had just the same as delivered him into the hands of the Devil ! !","None","None"
"[BRWN, PARA#13884, SENT#1]","The German's words worked on the newspaperman like a reprieve from an odious duty .","(NP (DT the) (NN newspaperman))","(NP (DT a) (NN reprieve))"
"[BRWN, PARA#8978, SENT#8]","Still Andrena will do a reasonably good job , so that an animal with a full pollen load looks like a gay little piece of yellow down floating in the wind .","(NP
  (NP (DT an) (NN animal))
  (PP (IN with) (NP (DT a) (JJ full) (NN pollen) (NN load))))","(NP
  (NP (DT a) (JJ gay) (JJ little) (NN piece))
  (PP
    (IN of)
    (NP
      (NP (JJ yellow) (NN down) (VBG floating))
      (PP (IN in) (NP (DT the) (NN wind))))))"
"[BRWN, PARA#13683, SENT#1]","The bitterness of their wedding night still ripped within him like an open wound .","(NP
  (NP (DT The) (NN bitterness))
  (PP (IN of) (NP (PRP$ their) (NN wedding) (NN night))))","(NP (DT an) (JJ open) (NN wound))"
"[BRWN, PARA#14584, SENT#9]","Watching her , he felt like a spectator at a tennis game , with the ball being bounced back and forth .","[Tree('NP', [Tree('PRP', ['he'])]), None, Tree('VBD', ['felt']), Tree('S', [Tree('VP', [Tree('VBG', ['Watching']), Tree('NP', [Tree('PRP', ['her'])])])])]","(NP (DT a) (NN spectator))"
"[BRWN, PARA#15089, SENT#2]","When Charlie came up from the beach for his four-o'clock pill , the whole establishment ( gaudy enough when seen through mist and fog ) looked like a floodlit modern painting -- great blocks of dizzy color , punctuated at regular intervals by the glaring white of five community refrigerators .","(SBAR
  (WHADVP (WRB When))
  (S
    (NP (NNP Charlie))
    (VP
      (VBD came)
      (PRT (RP up))
      (PP (IN from) (NP (DT the) (NN beach)))
      (PP
        (IN for)
        (NP
          (NP (PRP$ his) (JJ four-o'clock) (NN pill))
          (, ,)
          (NP (DT the) (JJ whole) (NN establishment))))
      (PRN
        (-LRB- -LRB-)
        (ADJP
          (RB gaudy)
          (RB enough)
          (SBAR
            (WHADVP (WRB when))
            (S
              (VP
                (VBN seen)
                (PP (IN through) (NP (NN mist) (CC and) (NN fog)))))))
        (-RRB- -RRB-)))))","(NP
  (NP (DT a) (JJ floodlit) (JJ modern) (NN painting))
  (: --)
  (NP
    (NP (JJ great) (NNS blocks))
    (PP (IN of) (NP (JJ dizzy) (NN color)))))"
"[BRWN, PARA#6438, SENT#6]","He moves through Harlem , therefore , like an occupying soldier in a bitterly hostile country ; ;","(NP (NP (NNP Harlem)) (, ,) (ADVP (RB therefore)) (, ,))","(NP (DT an) (JJ occupying) (NN soldier))"
"[BRWN, PARA#7623, SENT#3]","As it was the custom of that alert colony to take over the property of persons asking for protection , this was an act roughly equivalent to throwing open the door to a pack of wolves and saying `` Come and get it '' .","(NP (DT an) (NN act))","(PP
  (TO to)
  (S
    (VP
      (VP
        (VBG throwing)
        (PRT (RP open))
        (NP (DT the) (NN door))
        (PP
          (TO to)
          (NP (NP (DT a) (NN pack)) (PP (IN of) (NP (NNS wolves))))))
      (CC and)
      (VP
        (VBG saying)
        (S
          (VP
            (`` ``)
            (VB Come)
            (CC and)
            (VB get)
            (NP (PRP it))
            ('' '')))))))"
"[BRWN, PARA#4511, SENT#3]","The first time he was harnessed he stood like a gentle old mare ; ;","(NP
  (NP (DT The) (JJ first) (NN time))
  (SBAR
    (S
      (NP (PRP he))
      (VP (VBD was) (VP (VBN harnessed) (NP (PRP he)))))))","(NP (NP (DT a) (JJ gentle) (JJ old) (NN mare)) (: ;))"
"[BRWN, PARA#7717, SENT#2]","For them , in the grim words of a once-popular song , love and marriage go together like a horse and carriage .","(NP (NN love) (CC and) (NN marriage))","(NP (DT a) (NN horse) (CC and) (NN carriage))"
"[BRWN, PARA#3727, SENT#4]","But while she is able to tell her retarded family about the new world she has seen open before her , Ronnie has not been able to observe her progress , and instead of appearing at a family party to be looked over like a new bull , he sends Beatie a letter of dismissal .","(VB be)","(NP (DT a) (JJ new) (NN bull))"
"[BRWN, PARA#10352, SENT#3]","The sound of his footsteps was like a muffled drum .","(NP
  (NP (DT The) (NN sound))
  (PP (IN of) (NP (PRP$ his) (NNS footsteps))))","(NP (DT a) (JJ muffled) (NN drum))"
"[BRWN, PARA#7550, SENT#3]","Poetry , he said , must be `` dogmatic '' : it must not stoop to argue like a `` K.C. in cloth-of-gold '' .","(VB argue)","(NP (DT a) (`` ``) (NNP K.C.) (IN in) (NNP cloth-of-gold) ('' ''))"
"[BRWN, PARA#10868, SENT#2]","Honest I could feel the hair stand up on the back of my neck like a dog's that is going to get into a fight .","(NP (PRP$ my) (NN neck))","(NP (DT a) (NN dog))"
"[BRWN, PARA#15491, SENT#3]","A workbench had a heavy top and sturdy legs , but how did you attach sturdy legs to a heavy top so that the whole thing didn't wobble like a newborn calf and ultimately collapse when you leaned on it ? ?","(NP (DT the) (JJ whole) (NN thing))","(NP (DT a) (JJ newborn) (NN calf))"
"[BRWN, PARA#14613, SENT#2]","He shouted like a hoarse old mastiff , his hair stiff and bristling .","[Tree('NP', [Tree('PRP', ['He'])]), None, Tree('VBD', ['shouted'])]","(NP
  (NP (DT a) (JJ hoarse) (JJ old) (NN mastiff))
  (, ,)
  (NP
    (NP (PRP$ his) (NN hair))
    (ADJP (JJ stiff) (CC and) (JJ bristling))))"
"[BRWN, PARA#13164, SENT#5]","It poured out of him like an electric current , a feeling that the muscles and nerves of his fine-drawn body were coiling for action , and that that action would be all that he anticipated .","[Tree('NP', [Tree('PRP', ['It'])]), None, Tree('VBD', ['poured']), Tree('PRT', [Tree('RP', ['out'])]), Tree('PP', [Tree('IN', ['of']), Tree('NP', [Tree('PRP', ['him'])])])]","(NP
  (NP (DT an) (JJ electric) (NN current))
  (, ,)
  (NP (DT a) (NN feeling)))"
"[BRWN, PARA#4977, SENT#3]","The transducer itself moves the beam in a sector scan , just like a radar antenna , while the entire transducer structure is moved over a 90-degree arc in front of the eye to `` look into '' all corners .","(NP
  (NP (DT The) (NN transducer))
  (SBAR
    (S
      (NP (PRP itself))
      (VP
        (VBZ moves)
        (NP
          (NP (DT the) (NN beam))
          (PP (IN in) (NP (DT a) (NN sector))))))))","(NP (DT a) (NN radar) (NN antenna))"
"[BRWN, PARA#11483, SENT#1]","As he approached the first farmhouse , thunder sounded behind him again , closer now and louder , like a steadily advancing drum corps .","(NP (NN thunder))","(NP (DT a) (ADJP (RB steadily) (JJ advancing)) (NN drum) (NN corps))"
"[BRWN, PARA#8852, SENT#1]","It is appropriate to call attention to certain thermodynamic properties of an ideal gas that are analogous to rubber-like deformation .","None","None"
"[BRWN, PARA#13611, SENT#2]","The true artist is like one of those scientists who , from a single bone can reconstruct an animal's entire body .","(NP (DT The) (JJ true) (NN artist))","(NP
  (NP (CD one))
  (PP
    (IN of)
    (NP
      (NP (DT those) (NNS scientists))
      (SBAR
        (WHNP (WP who))
        (, ,)
        (S
          (PP (IN from) (NP (DT a) (JJ single) (NN bone)))
          (VP
            (MD can)
            (VP
              (VB reconstruct)
              (NP
                (NP (DT an) (NN animal) (POS 's))
                (JJ entire)
                (NN body)))))))))"
"[BRWN, PARA#2531, SENT#1]","She's been in and out of my house for a dozen years now , although she's still a teen-ager who looks like a baby , she is getting married .","(VBZ looks)","(NP (DT a) (NN baby))"
"[BRWN, PARA#9997, SENT#2]","Each switch occupies one digit position in a word , can be set on or off , and is considered as logically equivalent to an electronic switch .","[]","None"
"[BRWN, PARA#2735, SENT#1]","`` And Jesus , when he was baptized went up straightway out of the water : and lo , the heavens were opened unto him , and he saw the Spirit of God descending like a dove , and lighting upon him '' .","(VBG descending)","(NP (DT a) (NN dove))"
"[BRWN, PARA#11269, SENT#2]","I wore a new double-breasted brown worsted suit with a faint herringbone design and wide lapels like a devil's ears .","[Tree('NP', [Tree('PRP', ['I'])]), None, Tree('VBD', ['wore']), Tree('NP', [Tree('NP', [Tree('DT', ['a']), Tree('JJ', ['new']), Tree('JJ', ['double-breasted']), Tree('JJ', ['brown']), Tree('JJ', ['worsted']), Tree('NN', ['suit'])]), Tree('PP', [Tree('IN', ['with']), Tree('NP', [Tree('NP', [Tree('DT', ['a']), Tree('JJ', ['faint']), Tree('NN', ['herringbone']), Tree('NN', ['design'])]), Tree('CC', ['and']), Tree('NP', [Tree('JJ', ['wide']), Tree('NNS', ['lapels'])])])])])]","(NP (NP (DT a) (NNP devil) (POS 's)) (NNS ears))"
"[BRWN, PARA#7895, SENT#8]","The narrator feels himself catching a glimpse of pre-history , learning of man's `` age-old familiarity with misfortune '' , as well as his `` equally age-old ingenuity , his secret faith in endurance , however crammed with catastrophes , the same faith perhaps as the cave-men used to have in the face of famine '' .","None","None"
"[BRWN, PARA#10579, SENT#4]","Adam watched his own hands make the caressing , anxious movement that , when rain falls and nobody comes , and ruin draws close like a cat rubbing against the ankles , has been the ritual of stall vendors , forever .","(NP (NN nobody))","(NP
  (NP (DT a) (NN cat))
  (VP (VBG rubbing) (PP (IN against) (NP (DT the) (NNS ankles)))))"
"[BRWN, PARA#13648, SENT#5]","Her heart , her maternal feeling , in fact her being was too busy expressing itself , as quietly thrilled by this sight of her Nicolas curled asleep under a blanket , in a park like a scene from Poussin .","(NP (DT a) (NN park))","(NP (NP (DT a) (NN scene)) (PP (IN from) (NP (NNP Poussin))))"
"[BRWN, PARA#6884, SENT#6]","The career of Charles 12 , is obviously very similar to that of Napoleon .","(NP
  (NP (DT The) (NN career))
  (PP (IN of) (NP (NNP Charles) (CD 12))))","(PP (TO to) (NP (NP (DT that)) (PP (IN of) (NP (NNP Napoleon)))))"
"[BRWN, PARA#3885, SENT#2]","By analogy , the church also has been regarded as entirely independent of the `` world '' in the sense of requiring nothing from it in order to be the church .","None","None"
"[BRWN, PARA#11646, SENT#1]","Until now , Lilac Gaylor and Lila Kingsley had been like an anagram which he could unscramble at his own pace and choosing .","(NP (NNP Lilac) (NNP Gaylor) (CC and) (NNP Lila) (NNP Kingsley))","(NP
  (NP (DT an) (NN anagram))
  (SBAR
    (WHNP (WDT which))
    (S
      (NP (PRP he))
      (VP
        (MD could)
        (VP
          (VB unscramble)
          (PP
            (IN at)
            (NP (PRP$ his) (JJ own) (NN pace) (CC and) (NN choosing))))))))"
"[BRWN, PARA#2736, SENT#11]","he saw the Spirit of God descending like a dove to alight upon him '' ; ;","(PP (IN of) (NP (NNP God) (NNP descending)))","(NP
  (DT a)
  (NN dove)
  (S
    (VP
      (TO to)
      (VP (VB alight) (PP (IN upon) (NP (PRP him) ('' '')))))))"
"[BRWN, PARA#3958, SENT#3]","As only a member of the family can share in the innermost joys of the family , likewise one must belong to the family of God in order to receive the benefits that are promised to those who are His own .","None","None"
"[BRWN, PARA#12127, SENT#1]","It was nine o'clock in the morning : the hour which , like a spade turning clods of earth , exposed to the day a myriad of busy creatures that had lain dormant in the quiet night .","None","(NP
  (NP (DT a) (NN spade))
  (VP
    (VBG turning)
    (NP (NP (NNS clods)) (PP (IN of) (NP (NN earth))))))"
"[BRWN, PARA#14225, SENT#1]","The Abernathy furnace consumed fuel like a giant ravenous maw that had to be appeased by hurling tons of coal into its evil red depths , and no matter how much coal they put in the house remained cold .","(NP (DT The) (NNP Abernathy) (NN furnace))","(NP (DT a) (JJ giant) (JJ ravenous) (NN maw))"
"[BRWN, PARA#7757, SENT#3]","I could hear Alfred's voice a few words behind Meltzer's like a counterpoint , punctuated by sobs of sorrow and resignation .","[Tree('NP', [Tree('PRP', ['I'])]), None, Tree('VB', ['hear']), Tree('S', [Tree('NP', [Tree('NP', [Tree('NNP', ['Alfred']), Tree('POS', ["'s"])]), Tree('NN', ['voice'])]), Tree('NP', [Tree('NP', [Tree('DT', ['a']), Tree('JJ', ['few']), Tree('NNS', ['words'])]), Tree('PP', [Tree('IN', ['behind']), Tree('NP', [Tree('NNP', ['Meltzer']), Tree('POS', ["'s"])])])])]), Tree('MD', ['could'])]","(NP
  (NP (DT a) (NN counterpoint))
  (, ,)
  (VP
    (VBN punctuated)
    (PP
      (IN by)
      (NP
        (NP (NNS sobs))
        (PP (IN of) (NP (NN sorrow) (CC and) (NN resignation)))))))"
"[BRWN, PARA#8972, SENT#9]","The queen afterward keeps incubating and guarding her eggs like a mother hen , taking a sip from time to time from the rather liquid honey in her honey pots .","(NP (PRP$ her) (NNS eggs))","(NP (DT a) (NN mother) (NN hen))"
"[BRWN, PARA#15233, SENT#4]","The sharp , burning colors of his body stood brilliant and plain against the black soil , like a target .","(NP
  (NP (DT The) (JJ sharp) (, ,) (JJ burning) (NNS colors))
  (PP (IN of) (NP (PRP$ his) (NN body))))","(NP (DT a) (NN target))"
"[BRWN, PARA#7401, SENT#3]","Perhaps it is only an analogy , but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation .","None","None"
"[BRWN, PARA#15069, SENT#5]","He had caught , too , like an ailment , a confirmed distrust of women .","[Tree('NP', [Tree('PRP', ['He'])]), None, Tree('VBN', ['caught']), Tree('VBD', ['had'])]","(NP
  (NP (DT an) (NN ailment))
  (, ,)
  (NP
    (NP (DT a) (JJ confirmed) (NN distrust))
    (PP (IN of) (NP (NNS women)))))"
"[BRWN, PARA#14771, SENT#8]","He snuck up on the ham like Maggie , gumming it with soft , stumpy teeth , then panting with thirst , lapping up the water in the lagoon , swelling up like a balloon , staggering home to be sick , while his mother said , `` That does it .","(VP
  (VBG lapping)
  (PRT (RP up))
  (NP
    (NP (DT the) (NN water))
    (PP (IN in) (NP (DT the) (NN lagoon)))))","(NP (DT a) (NN balloon))"
"[BRWN, PARA#13823, SENT#1]","At first it had been just a romantic dream of his , the same as the idea of finishing Oxford after the war .","None","None"
"[BRWN, PARA#12081, SENT#3]","Muller , nakedly exposed at the bright window like a deer pinned in a car's headlights , threw down the rifle and turned to jump from the table ; ;","(NP (DT the) (JJ bright) (NN window))","(NP
  (NP (DT a) (NNS deer))
  (VP
    (VBN pinned)
    (PP (IN in) (NP (NP (DT a) (NN car) (POS 's)) (NNS headlights)))))"
"[BRWN, PARA#11032, SENT#2]","And the stiffly regal look of them , she saw grimly , lacked the quaver of age which , thwarting the efforts of her amazing will , ran through her spoken words like a thin ragged string .","(PP (IN through) (NP (PRP$ her) (JJ spoken) (NNS words)))","(NP (DT a) (JJ thin) (JJ ragged) (NN string))"
"[BRWN, PARA#10405, SENT#3]","ivy climbed the red brick walls like a green-scaled monster .","(NP (NN ivy))","(NP (DT a) (JJ green-scaled) (NN monster))"
"[BRWN, PARA#13915, SENT#2]","Heat , in the sunlight , pressed in like an invisible crowd .","(NP
  (NP (NNP Heat))
  (, ,)
  (PP (IN in) (NP (DT the) (NN sunlight)))
  (, ,))","(NP (DT an) (JJ invisible) (NN crowd))"
"[BRWN, PARA#2646, SENT#1]","Viewed from afar , the CDC looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its component clubs and affiliated groups -- 500 or so .","(NP (DT the) (NNP CDC))","(NP (DT a) (RB rather) (JJ stalwart) (JJ political) (NN pyramid))"
"[BRWN, PARA#14486, SENT#3]","Even when he is on the way to Memphis you will still have the promise resting inside you like a gift , and it is he inside of you .","[Tree('NP', [Tree('PRP', ['you'])]), None, Tree('VB', ['have']), Tree('NP', [Tree('NP', [Tree('DT', ['the']), Tree('NN', ['promise']), Tree('NN', ['resting'])]), Tree('PP', [Tree('IN', ['inside']), Tree('NP', [Tree('PRP', ['you'])])])]), Tree('MD', ['will']), Tree('SBAR', [Tree('RB', ['Even']), Tree('WHADVP', [Tree('WRB', ['when'])]), Tree('S', [Tree('NP', [Tree('PRP', ['he'])]), Tree('VP', [Tree('VBZ', ['is']), Tree('PP', [Tree('IN', ['on']), Tree('NP', [Tree('NP', [Tree('DT', ['the']), Tree('NN', ['way'])]), Tree('PP', [Tree('TO', ['to']), Tree('NP', [Tree('NNP', ['Memphis'])])])])])])])])]","(NP (DT a) (NN gift))"
