"79","the idea of finishing oxford after the war","just a romantic dream of his","had"
"81","a thin ragged string","the quaver","lacked"
"82","a green-scaled monster","the red brick walls","climbed"
"83","an invisible crowd","heat , in the sunlight ,","pressed"
"84","a rather stalwart political pyramid","the cdc","looks"
"85","a gift","the promise resting inside you","have"
"86","a red","burns 's `` my love","is"
"88","a spread-out deck of cards","something","is"
"89","a banner in the sun","a poppy bud higher than my head slowly but visibly","have"
"90","a sleepwalker ;","an uncanny absent-minded air","had"
"92","a brushfire","word of his arrival","spread"
"93","a serpent with two heads","it","sat"
"94","a ghost at the threshold","george rawlings","remembered"
"95","a mule","his back","was"
"97","an enormous dark mirror","its moontrack","used"
"99","a round square","the third but really pseudo position","are"
"100","a marching parade","ada 's flowers","miss"
"101","that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ;","the argument against this last approach","is"
"102","a volcano , ready to explode at any moment","sullen resentment","rumbles"
"103","a timid rooster","it","pecked"
"104","a blown-up paper bag","they","be"
"105","a fragment of a mosaic","the artist","is"
"106","a lost and frantic bird","NaN","is"
"108","a member of a cult speculating on the nature of things","he","believed"
"109","a flu virus which causes temporary discomfort and then dies","a dose of radiation","causes"
"110","a rope along the horizon , the choppy waves sending off sheets of blue and kool-aid green","the fog","said"
"111","a wet rag","he","went"
"112","a great balloon","a balloon big enough to put a football field inside","swell"
"113","a fool being driven up to work in a little car , by my wife , when everybody knows i have a big car and am capable of driving myself","that i","is"
"114","a veteran","yourself","be"
"115","an icicle at any moment","his spine","felt"
"116","going to a modern musical comedy for music and comedy","going back to ralph waldo emerson for humor","said"
"117","a pail of water","that absence of an urgent self-indulgence","dashed"
"118","the westerner who had on exhibit his superior marksmanship in the form of a number of bull 's - eye achievements","people who take us for suckers","are"
"121","a physical pain","loneliness","tore"
"122","a brother","the president","love"
"123","a bird alert","her thin body upright","brought"
"124","a starving hound dog cracking marrowbones","the valley , gouging and spitting out boulders and chunks of earth","stared"
"125","that of the unifil loom winder","the potential market for the machine","be"
"126","a stage set","the curve of faded terra-cotta-colored houses in front of the church","seems"
"127","a tire over a piece of gravel then moved on","only a tiny bump","made"
"128","a mighty dynamo","his heart","was"
"128","a hurt or frightened child","his mind","seeming"
"129","a little group of atoms ;","these peas","looked"
"130","a priest","a bow","slumped"
"131","the ordering of the forms they describe","the order","is"
"132","a lavender ghost : greg 's house","an unhappy memory","shut"
"133","a man putting his things into storage","he","went"
"134","a net operating","loss carryover or operating deficit and whose right to survive a reorganization should perhaps be subject to the conditions applicable to those items","be"
"135","a medieval fortress","a bold , dark castle","was"
"137","a laugh or a growl","the memory","felt"
"138","a black snake","the elastic phone cord","jumped"
"139","an astronaut who had left his vitamin pills on the bureau","today","spent"
"140","a mysterious epidemic which , starting first with abigail and parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it","it","is"
"141","qualities i had found in the plays","the personal quality of samuel beckett","is"
"142","an old hen on a doorknob for eighteen months","that evidence","has"
"143","a hun","i","feel"
"144","that for gravitational field and osmotic pressure","the af calculation","is"
"145","handing a loaded automatic to an 8-year-old and telling him to run out and play ''","it is like handing a loaded automatic to an 8-year-old and telling him to run out and play ''","is"
"146","an avenging angel","the new pastor","soared"
"147","coins or counters","some way","avoid"
"148","a young giant","stravinsky","expand"
"149","an inscription","a yellow background","went"
"150","a fine wine","miss vaughan","was"
"151","a she wolf","real anger at last , something proud and indignant ,","cried"
"152","the salubrious horse laugh ''","the sound mockery of sheep","is"
"155","that of andrena","the life history of the alkali bee","is"
"156","a chill in your stomach and the goose bumps rippled along your arm","you","hit"
"157","a nostradamus","shakespeare","was"
