"Pleasure , fame and fortune , drowning your troubles with a drink , and `` living it up '' with the gang are like candy bars when you're hungry : they may ease your hunger temporarily , but they'll never take the place of a satisfying , mouth-watering steak .","0","candy bars ","None"
"The steeple leaned backward , while the church advanced like a headless creature in a long , shapeless coat .","0","a headless creature ","the church "
"Behind its ornate facade the notorious dive clung like a bird's nest to the rocky ribs of the canyonside .","0","None","None"
"I had just the same as delivered him into the hands of the Devil ! !","0","None","None"
"The German's words worked on the newspaperman like a reprieve from an odious duty .","0","a reprieve ","the newspaperman "
"Still Andrena will do a reasonably good job , so that an animal with a full pollen load looks like a gay little piece of yellow down floating in the wind .","0","a gay little piece of yellow down floating in the wind ","an animal with a full pollen load "
"The bitterness of their wedding night still ripped within him like an open wound .","0","an open wound ","The bitterness of their wedding night "
"Watching her , he felt like a spectator at a tennis game , with the ball being bounced back and forth .","0","a spectator ","he "
"When Charlie came up from the beach for his four-o'clock pill , the whole establishment ( gaudy enough when seen through mist and fog ) looked like a floodlit modern painting -- great blocks of dizzy color , punctuated at regular intervals by the glaring white of five community refrigerators .","0","a floodlit modern painting -- great blocks of dizzy color ","white of five community refrigerators "
"He moves through Harlem , therefore , like an occupying soldier in a bitterly hostile country ; ;","0","an occupying soldier ","Harlem , therefore , "
"As it was the custom of that alert colony to take over the property of persons asking for protection , this was an act roughly equivalent to throwing open the door to a pack of wolves and saying `` Come and get it '' .","0","throwing open the door to a pack of wolves and saying `` Come and get it '' ","None"
"The first time he was harnessed he stood like a gentle old mare ; ;","0","a gentle old mare ; ","The first time he was harnessed he "
"For them , in the grim words of a once-popular song , love and marriage go together like a horse and carriage .","0","a horse and carriage ","love and marriage "
"But while she is able to tell her retarded family about the new world she has seen open before her , Ronnie has not been able to observe her progress , and instead of appearing at a family party to be looked over like a new bull , he sends Beatie a letter of dismissal .","0","a new bull ","he "
"The sound of his footsteps was like a muffled drum .","0","a muffled drum ","The sound of his footsteps "
"Poetry , he said , must be `` dogmatic '' : it must not stoop to argue like a `` K.C. in cloth-of-gold '' .","0","a `` K.C. in cloth-of-gold '' ","it "
"Honest I could feel the hair stand up on the back of my neck like a dog's that is going to get into a fight .","0","a dog ","my neck "
"A workbench had a heavy top and sturdy legs , but how did you attach sturdy legs to a heavy top so that the whole thing didn't wobble like a newborn calf and ultimately collapse when you leaned on it ? ?","0","a newborn calf ","the whole thing "
"He shouted like a hoarse old mastiff , his hair stiff and bristling .","0","a hoarse old mastiff , his hair stiff and bristling ","He "
"It poured out of him like an electric current , a feeling that the muscles and nerves of his fine-drawn body were coiling for action , and that that action would be all that he anticipated .","0","an electric current , a feeling ","It "
"The transducer itself moves the beam in a sector scan , just like a radar antenna , while the entire transducer structure is moved over a 90-degree arc in front of the eye to `` look into '' all corners .","0","a radar antenna ","The transducer itself moves the beam in a sector "
"As he approached the first farmhouse , thunder sounded behind him again , closer now and louder , like a steadily advancing drum corps .","0","a steadily advancing drum corps ","him "
"It is appropriate to call attention to certain thermodynamic properties of an ideal gas that are analogous to rubber-like deformation .","0","None","None"
"The true artist is like one of those scientists who , from a single bone can reconstruct an animal's entire body .","0","one of those scientists who , from a single bone can reconstruct an animal 's entire body ","The true artist "
"She's been in and out of my house for a dozen years now , although she's still a teen-ager who looks like a baby , she is getting married .","0","a baby ","a teen-ager "
"Each switch occupies one digit position in a word , can be set on or off , and is considered as logically equivalent to an electronic switch .","0","an electronic switch ","Each switch "
"`` And Jesus , when he was baptized went up straightway out of the water : and lo , the heavens were opened unto him , and he saw the Spirit of God descending like a dove , and lighting upon him '' .","0","a dove ","the Spirit of God "
"I wore a new double-breasted brown worsted suit with a faint herringbone design and wide lapels like a devil's ears .","0","a devil 's ears ","a new double-breasted brown worsted suit with a faint herringbone design and wide lapels "
"The narrator feels himself catching a glimpse of pre-history , learning of man's `` age-old familiarity with misfortune '' , as well as his `` equally age-old ingenuity , his secret faith in endurance , however crammed with catastrophes , the same faith perhaps as the cave-men used to have in the face of famine '' .","0","a devil 's ears ","a new double-breasted brown worsted suit with a faint herringbone design and wide lapels "
"Adam watched his own hands make the caressing , anxious movement that , when rain falls and nobody comes , and ruin draws close like a cat rubbing against the ankles , has been the ritual of stall vendors , forever .","0","a cat rubbing against the ankles ","close "
"Her heart , her maternal feeling , in fact her being was too busy expressing itself , as quietly thrilled by this sight of her Nicolas curled asleep under a blanket , in a park like a scene from Poussin .","0","a scene from Poussin ","a park "
"The career of Charles 12 , is obviously very similar to that of Napoleon .","0","that of Napoleon ","The career of Charles 12 "
"By analogy , the church also has been regarded as entirely independent of the `` world '' in the sense of requiring nothing from it in order to be the church .","0","that of Napoleon ","The career of Charles 12 "
"Until now , Lilac Gaylor and Lila Kingsley had been like an anagram which he could unscramble at his own pace and choosing .","0","an anagram which he could unscramble at his own pace and choosing ","Lilac Gaylor and Lila Kingsley "
"he saw the Spirit of God descending like a dove to alight upon him '' ; ;","0","a dove to alight upon him '' ","the Spirit "
"As only a member of the family can share in the innermost joys of the family , likewise one must belong to the family of God in order to receive the benefits that are promised to those who are His own .","0","None","None"
"It was nine o'clock in the morning : the hour which , like a spade turning clods of earth , exposed to the day a myriad of busy creatures that had lain dormant in the quiet night .","0","a spade turning clods of earth ","the hour "
"The Abernathy furnace consumed fuel like a giant ravenous maw that had to be appeased by hurling tons of coal into its evil red depths , and no matter how much coal they put in the house remained cold .","0","a giant ravenous maw ","fuel "
"I could hear Alfred's voice a few words behind Meltzer's like a counterpoint , punctuated by sobs of sorrow and resignation .","0","a counterpoint , punctuated by sobs of sorrow and resignation ","I "
"The queen afterward keeps incubating and guarding her eggs like a mother hen , taking a sip from time to time from the rather liquid honey in her honey pots .","0","a mother hen ","her eggs "
"The sharp , burning colors of his body stood brilliant and plain against the black soil , like a target .","0","a target ","The sharp , burning colors of his body "
"Perhaps it is only an analogy , but one of the most obvious differences between cheap fiction and fiction of an enduring quality is the development of a theme or story with leisure and anticipation .","0","a target ","The sharp , burning colors of his body "
"He had caught , too , like an ailment , a confirmed distrust of women .","0","an ailment , a confirmed distrust of women ","He "
"He snuck up on the ham like Maggie , gumming it with soft , stumpy teeth , then panting with thirst , lapping up the water in the lagoon , swelling up like a balloon , staggering home to be sick , while his mother said , `` That does it .","0","Maggie ","the ham "
"At first it had been just a romantic dream of his , the same as the idea of finishing Oxford after the war .","0","the idea of finishing Oxford after the war ","just a romantic dream of his "
"Muller , nakedly exposed at the bright window like a deer pinned in a car's headlights , threw down the rifle and turned to jump from the table ; ;","0","a deer pinned in a car 's headlights ","the bright window "
"And the stiffly regal look of them , she saw grimly , lacked the quaver of age which , thwarting the efforts of her amazing will , ran through her spoken words like a thin ragged string .","0","a thin ragged string ","the quaver "
"ivy climbed the red brick walls like a green-scaled monster .","0","a green-scaled monster ","the red brick walls "
"Heat , in the sunlight , pressed in like an invisible crowd .","0","an invisible crowd ","Heat , in the sunlight , "
"Viewed from afar , the CDC looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its component clubs and affiliated groups -- 500 or so .","0","a rather stalwart political pyramid ","the CDC "
"Even when he is on the way to Memphis you will still have the promise resting inside you like a gift , and it is he inside of you .","0","a gift ","the promise resting inside you "
"Thus Burns's `` My love is like a red , red rose '' and Hopkins' `` The thunder-purple sea-beach , plumed purple of Thunder '' although clearly intelligible in content , hardly present ideas of the sort with which we are here concerned .","0","a red ","Burns 's `` My love "
"As in choosing a wife , it is only sensible to consider also how appealing a pool is likely to be in bad weather as well as in good .","0","None","None"
"More than anything , it is the therapist's intuitive sensing of these latent meanings in the stereotype which helps these meanings to become revealed , something like a spread-out deck of cards , on sporadic occasions over the passage of the patient's and his months of work together .","0","a spread-out deck of cards ","something "
"I have more than once sat cross-legged in the grass through a long summer morning and watched without touching while a poppy bud higher than my head slowly but visibly pushed off its cap , unfolded , and shook out like a banner in the sun its flaming vermilion petals .","0","a banner in the sun ","a poppy bud higher than my head slowly but visibly "
"He also had , at times , an uncanny absent-minded air like a sleepwalker ; ;","0","a sleepwalker ; ","an uncanny absent-minded air "
"Nevertheless , like any other human being upon whom the spotlight of the world plays continually , Khrushchev , the anti-personality cultist , has become a comic actor , or thinks he has .","0","any other human being upon whom the spotlight of the world plays continually ","None"
"Word of his arrival spread through the crowd like a brushfire .","0","a brushfire ","Word of his arrival "
"He had dinner and sat there over his coffee watching the winding pattern of traffic as it crossed the bridge and spread out like a serpent with two heads .","0","a serpent with two heads ","it "
"George Rawlings remembered seeing the door open sometime during the night -- Millie , in a white robe , standing like a ghost at the threshold .","0","a ghost at the threshold ","Millie , in a white robe , "
"This term was also used by the cowboy in the sense of a human showin' fight , as one cowhand was heard to say , `` He arches his back like a mule in a hailstorm '' .","0","a mule ","his back "
"One seldom hears the analogy `` nuclear propulsion will do for the aircraft what it has already done for the submarine '' .","0","a mule ","his back "
"It's so romantic up there , she used to say , with the broad river gleaming in its moontrack like an enormous dark mirror and all the sounds of the night , so poetic .","0","an enormous dark mirror ","its moontrack "
"The dogs would run through the halls after him like a burst of bullets , and all the maids would run for cover .","0","None","None"
"Therefore , the only conceivable alternatives are those represented , on the one hand , by the two at least apparently self-consistent but mutually exclusive positions of Buri and Barth and , on the other hand , by the third but really pseudo position ( analogous to a round square ) of Bultmann .","0","a round square ","the third but really pseudo position "
"Now the yard looked wet and bald , the trees bare under their buds , but in a while Miss Ada's flowers would bloom like a marching parade .","0","a marching parade ","Miss Ada 's flowers "
"The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; ;","0","that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; ","The argument against this last approach "
"Where it is not actually erupting , it rumbles and smolders in sullen resentment like a volcano , ready to explode at any moment .","0","a volcano , ready to explode at any moment ","sullen resentment "
"Delphine presented her cheek for a kiss , and the physician pecked it like a timid rooster .","0","a timid rooster ","it "
"morning-glory buds which could be so grasped and squeezed that they burst like a blown-up paper bag ; ;","0","a blown-up paper bag ","they "
"`` The artist is like a fragment of a mosaic -- no , he is more than that , a virtuoso performer in some vast philharmonic .","0","a fragment of a mosaic ","The artist "
"Stravinsky , nearing the age of eighty , is like a lost and frantic bird , flitting from one abandoned nest to another , searching for a home .","0","a lost and frantic bird ","Stravinsky "
"Nonresident aliens living in Canada or Mexico who earn wages in the United States may be subject to withholding of tax on their wages , the same as if they were citizens of the United States .","0","None","None"
"but he believed in the Jew-as-enemy in a kind of abstract , theological way , like a member of a cult speculating on the nature of things .","0","a member of a cult speculating on the nature of things ","he "
"for a dose of radiation is not like a flu virus which causes temporary discomfort and then dies .","0","a flu virus which causes temporary discomfort and then dies ","a dose of radiation "
"`` Hurry up , we're late '' , he said , noticing with a chill how gray the sky was this morning , the fog like a rope along the horizon , the choppy waves sending off sheets of blue and Kool-Aid green .","0","a rope along the horizon , the choppy waves sending off sheets of blue and Kool-Aid green ","the fog "
"He went down like a wet rag and the attackers hit the dirt in the face of the withering enemy fire .","0","a wet rag ","He "
"Then this atom of calcium will swell to something like a great balloon a hundred yards across , a balloon big enough to put a football field inside .","0","a great balloon ","a balloon big enough to put a football field inside "
"The logic of that is impeccable , of course , except that I feel like a fool being driven up to work in a little car , by my wife , when everybody knows I have a big car and am capable of driving myself .","0","a fool being driven up to work in a little car , by my wife , when everybody knows I have a big car and am capable of driving myself ","I "
"Before your first training experiment has ended there will be a big improvement and almost before you know it you'll be raising and lowering yourself just like a veteran ! !","0","a veteran ","yourself "
"his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass-like , liable to break like an icicle at any moment .","0","an icicle at any moment ","his spine "
"I took a deep breath and an even deeper swallow of my drink , and said , `` I admit that going back to Ralph Waldo Emerson for humor is like going to a modern musical comedy for music and comedy '' .","0","going to a modern musical comedy for music and comedy ","going back to Ralph Waldo Emerson for humor "
"That absence of an urgent self-indulgence dashed them awake like a pail of water .","0","a pail of water ","That absence of an urgent self-indulgence "
"People who take us for suckers are like the Westerner who had on exhibit his superior marksmanship in the form of a number of bull's-eye achievements .","0","the Westerner who had on exhibit his superior marksmanship in the form of a number of bull 's - eye achievements ","People who take us for suckers "
"While my memory holds with relentless tenacity , as I cannot too often stress , to my wrongs , when it comes to my shames , it gestures and jokes and toys with chronology like a prestidigitator in the hope of distracting me from them .","0","None","None"
"As in experience one is seized by given entities and their interrelations and is forced to respond in value feelings to them , so one is similarly seized in the mimetic presentation of images .","0","None","None"
"Loneliness tore through him like a physical pain whenever he thought of Peter Robert , Nerien , Nicholas Cop , Martin Bucer , and even the compromising Louis Du Tillet .","0","a physical pain ","Loneliness "
"A fellow came up to me , a Senator , I don't have to tell you his name , and he told me , ' I love the President like a brother , but God damn it , he's crucifying me .","0","a brother ","the President "
"She grasped the chair arms and brought her thin body upright , like a bird alert for flight .","0","a bird alert ","her thin body upright "
"Frozen , they stared at it whirling down the valley , gouging and spitting out boulders and chunks of earth like a starving hound dog cracking marrowbones .","0","a starving hound dog cracking marrowbones ","the valley , gouging and spitting out boulders and chunks of earth "
"The potential market for the machine should be comparable to that of the Unifil loom winder .","0","that of the Unifil loom winder ","The potential market for the machine "
") The curve of faded terra-cotta-colored houses in front of the church seems like a stage set .","0","a stage set ","The curve of faded terra-cotta-colored houses in front of the church "
"It made only a tiny bump over the two men like a tire over a piece of gravel then moved on .","0","a tire over a piece of gravel then moved on ","only a tiny bump "
"His heart was pounding like a mighty dynamo and he was trying to think , his mind seeming to scream at him like a hurt or frightened child , `` How will I do it ? ?","0","a mighty dynamo ","His heart "
"One night there were some dried peas lying on our kitchen table , and these peas looked to me like a little group of atoms ; ;","0","a little group of atoms ; ","these peas "
"The marine slumped forward into a bow like a priest before an idol .","0","a priest ","a bow "
"The order is identical to the ordering of the forms they describe .","0","the ordering of the forms they describe ","The order "
"The closet was faintly fragrant with lavender , and as Lucy shut the door an unhappy memory slipped into her mind , like a lavender ghost : Greg's house , on the day he was buried , and the child , pale , silent , baffled , watching the funeral guests with panicky eyes .","0","a lavender ghost : Greg 's house ","an unhappy memory "
"Alfred began to put his affairs in order , and he went about it like a man putting his things into storage .","0","a man putting his things into storage ","he "
"There may be certain items which are quite similar to a net operating loss carryover or operating deficit and whose right to survive a reorganization should perhaps be subject to the conditions applicable to those items .","0","a net operating ","loss carryover or operating deficit and whose right to survive a reorganization should perhaps be subject to the conditions applicable to those items "
"It was a bold , dark castle of pine boughs that stood like a medieval fortress , eclipsing the sun and human time .","0","a medieval fortress ","a bold , dark castle "
"It is not a farfetched analogy to say that this is what Thomas did to poetry .","0","a medieval fortress ","a bold , dark castle "
"I always felt the memory was present in both of them , stirring in their chests like a laugh or a growl , as eager as an animal to be out .","0","a laugh or a growl ","the memory "
"Then she jumped to her feet , the elastic phone cord uncoiling like a black snake .","0","a black snake ","the elastic phone cord "
"Today , he looked like an Astronaut who had left his vitamin pills on the bureau and spent six months in space : hollow eyes , hollow cheeks , hollow stomach .","0","an Astronaut who had left his vitamin pills on the bureau ","Today "
"It is like a mysterious epidemic which , starting first with Abigail and Parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it .","0","a mysterious epidemic which , starting first with Abigail and Parris , spreads inexorably with a dreadfully growing virulence through the whole town until all have been infected by it ","It "
"The personal quality of Samuel Beckett is similar to qualities I had found in the plays .","0","qualities I had found in the plays ","The personal quality of Samuel Beckett "
"`` The Attorney General has been brooding over that evidence like an old hen on a doorknob for eighteen months '' , Hearst said .","0","an old hen on a doorknob for eighteen months ","that evidence "
"The place was busy but I didn't feel like a Hun .","0","a Hun ","I "
"Although the Af calculation is obvious by analogy with that for gravitational field and osmotic pressure , it is interesting to confirm it by a method which can be generalized to include related effects .","0","that for gravitational field and osmotic pressure ","the Af calculation "
"`` It is like handing a loaded automatic to an 8-year-old and telling him to run out and play '' , he commented .","0","handing a loaded automatic to an 8-year-old and telling him to run out and play '' ","It is like handing a loaded automatic to an 8-year-old and telling him to run out and play '' handing a loaded automatic to an 8-year-old and telling him to run out and play '' handing a loaded automatic to an 8-year-old handing a loaded automatic a loaded automatic to an 8-year-old to an 8-year-old an 8-year-old and telling him to run out and play '' telling him to run out and play '' him him to run out and play '' to run out and play '' run out run out out and play '' play '' "
"She soared over the new pastor like an avenging angel lest he stray from the path and not know all the truth and gossip of which she was chief repository .","0","an avenging angel ","the new pastor "
"We must avoid the notion , suggested to some people by examples such as those just mentioned , that ideas are `` units '' in some way comparable to coins or counters that can be passed intact from one group of people to another or even , for that matter , from one individual to another .","0","coins or counters ","some way "
"Why did Prokofieff expand in stature and fecundity , while Stravinsky ( who leaped into fame like a young giant ) dwindled in stature and fruitfulness ? ?","0","a young giant ","Stravinsky "
"We went into Mrs. Monmouth's library , which had low bookshelves all along the walls , and above them a Modigliani portrait , a Jackson Pollock twelve feet long , and a gorgeous Miro with a yellow background , that looked like an inscription from a Martian tomb .","0","an inscription ","a yellow background "
"Miss Vaughan was back in top form , somehow mellowed and improved with the passage of time -- like a fine wine .","0","a fine wine ","Miss Vaughan "
"But now with real anger at last , something proud and indignant , Early Spring stood like a she wolf before her den and cried , `` I will not shriek at you ! !","0","a she wolf ","real anger at last , something proud and indignant , "
"The sound mockery of sheep is like the salubrious horse laugh '' .","0","the salubrious horse laugh '' ","The sound mockery of sheep "
"Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .","0","the salubrious horse laugh '' ","The sound mockery of sheep "
"Our collective policies , group and national , are similarly based on voodoo , but here we often lack even the empirically successful rituals and are still engaged in determing them .","0","the salubrious horse laugh '' ","The sound mockery of sheep "
"The life history of the alkali bee is similar to that of Andrena , but the first activity of the adults does not take place until summer , and the individuals hibernate in the prepupal stage .","0","that of Andrena ","The life history of the alkali bee "
"You laughed and then your chest swelled and you felt you could cry for a little bit , and then a feeling hit you like a chill in your stomach and the goose bumps rippled along your arm .","0","a chill in your stomach and the goose bumps rippled along your arm ","you "
"In their very first speeches it was clear that Shakespeare , like a Nostradamus , had foreseen this moment .","0","a Nostradamus ","Shakespeare "
